year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0	0	5529
1979	0.00018942981625307822	1	5279
1980	0.00018450184501845018	1	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0	0	5715
1986	0.0001928268414963363	1	5186
1987	0	0	5469
1988	0	0	5507
1989	0.00017433751743375174	1	5736
1990	0.0003508771929824561	2	5700
1991	0.00033950093362756747	2	5891
1992	0	0	5978
1993	0	0	5959
1994	0	0	6029
1995	0	0	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0.0005514199062586159	2	3627
1999	0.0002829654782116582	2	7068
2000	0.00012159533073929961	1	8224
2001	0.0010082097076191847	7	6943
2002	0.0007670182166826462	4	5215
2003	0.0001389274798555154	1	7198
2004	0.000149655791679138	1	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0	0	2099
2008	0	0	11132
2009	0.0004767580452920143	8	16780
2010	0.0003902185223725286	6	15376
2011	0.0002723311546840959	4	14688
2012	0.00029959853795913474	5	16689
2013	0.00010418294525186227	2	19197
