year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.000721240533717995	2	2773
1951	0.0007104795737122557	2	2815
1952	0.0006863417982155113	2	2914
1953	0.0006594131223211342	2	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0.0005212405525149857	2	3837
1957	0.0007814535035165407	3	3839
1958	0.0016047071409467772	6	3739
1959	0.0010484927916120576	4	3815
1960	0.0010596026490066225	4	3775
1961	0.00045320643553138455	2	4413
1962	0.0011999040076793857	5	4167
1963	0.0008727907484180668	4	4583
1964	0.001001001001001001	5	4995
1965	0.00130475302889096	7	5365
1966	0.001088929219600726	6	5510
1967	0.001064207165661582	6	5638
1968	0.0010030090270812437	6	5982
1969	0.0012081463583016915	7	5794
1970	0.0018496721035816377	11	5947
1971	0.0017971246006389776	9	5008
1972	0.001941433425012134	12	6181
1973	0.002027027027027027	12	5920
1974	0.001143946615824595	6	5245
1975	0.0018126888217522659	9	4965
1976	0.002334176230305388	12	5141
1977	0.0012965363956288201	7	5399
1978	0.001266051727256285	7	5529
1979	0.0011365788975184693	6	5279
1980	0.002214022140221402	12	5420
1981	0.0015012197410395947	8	5329
1982	0.0011280315848843769	6	5319
1983	0.0030274361400189215	16	5285
1984	0.0028174305033809165	15	5324
1985	0.0010498687664041995	6	5715
1986	0.0021210952564596993	11	5186
1987	0.0025598829767782046	14	5469
1988	0.002179044852006537	12	5507
1989	0.002615062761506276	15	5736
1990	0.0022807017543859647	13	5700
1991	0.001867255134951621	11	5891
1992	0.0018400802944128472	11	5978
1993	0.0006712535660345696	4	5959
1994	0.0009951899154088573	6	6029
1995	0.0015564202334630351	10	6425
1996	0.0018162554866051157	12	6607
1997	0.0009260974254491572	5	5399
1998	0.0016542597187758478	6	3627
1999	0.001697792869269949	12	7068
2000	0.0017023346303501946	14	8224
2001	0.00273656920639493	19	6943
2002	0.0015340364333652923	8	5215
2003	0.0012503473186996387	9	7198
2004	0.00149655791679138	10	6682
2005	0.000974025974025974	6	6160
2006	0.0020172910662824206	7	3470
2007	0.0028585040495474035	6	2099
2008	0.0009881422924901185	11	11132
2009	0.0008939213349225268	15	16780
2010	0.0018860561914672217	29	15376
2011	0.0011574074074074073	17	14688
2012	0.00137815327461202	23	16689
2013	0.001562744178777934	30	19197
