year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.0032455824017309774	9	2773
1951	0.002841918294849023	8	2815
1952	0.002059025394646534	6	2914
1953	0.0009891196834817012	3	3033
1954	0	0	3257
1955	0	0	3852
1956	0.0005212405525149857	2	3837
1957	0.0005209690023443605	2	3839
1958	0.0005349023803155924	2	3739
1959	0.0015727391874180866	6	3815
1960	0.0005298013245033113	2	3775
1961	0.0015862225243598459	7	4413
1962	0.0007199424046076314	3	4167
1963	0.0017455814968361336	8	4583
1964	0.0016016016016016017	8	4995
1965	0.00130475302889096	7	5365
1966	0.001088929219600726	6	5510
1967	0.000709471443774388	4	5638
1968	0.0006686726847208291	4	5982
1969	0.0015533310321021747	9	5794
1970	0.0008407600470825626	5	5947
1971	0.0013977635782747603	7	5008
1972	0.001941433425012134	12	6181
1973	0.0015202702702702704	9	5920
1974	0.0017159199237368923	9	5245
1975	0.002215508559919436	11	4965
1976	0.0019451468585878235	10	5141
1977	0.0027782922763474717	15	5399
1978	0.0018086453246518358	10	5529
1979	0.0009471490812653912	5	5279
1980	0.0014760147601476014	8	5420
1981	0.0026271345468192905	14	5329
1982	0.001692047377326565	9	5319
1983	0.0020813623462630085	11	5285
1984	0.0015026296018031556	8	5324
1985	0.0015748031496062992	9	5715
1986	0.0021210952564596993	11	5186
1987	0.0016456390565002743	9	5469
1988	0.002179044852006537	12	5507
1989	0.002789400278940028	16	5736
1990	0.0012280701754385965	7	5700
1991	0.0016975046681378374	10	5891
1992	0.002843760455001673	17	5978
1993	0.0013425071320691392	8	5959
1994	0.0014927848731132857	9	6029
1995	0.001867704280155642	12	6425
1996	0.0027243832299076736	18	6607
1997	0.0016669753658084831	9	5399
1998	0.0011028398125172319	4	3627
1999	0.0019807583474816073	14	7068
2000	0.0029182879377431907	24	8224
2001	0.002880599164626242	20	6943
2002	0.002109300095877277	11	5215
2003	0.002361767157543762	17	7198
2004	0.0019455252918287938	13	6682
2005	0.002435064935064935	15	6160
2006	0.001729106628242075	6	3470
2007	0.0023820867079561697	5	2099
2008	0.0009881422924901185	11	11132
2009	0.0014898688915375446	25	16780
2010	0.0017559833506763788	27	15376
2011	0.0029275599128540304	43	14688
2012	0.0029360656719995206	49	16689
2013	0.0021878418502891076	42	19197
