year	portion	word_count	total_count
1945	0.007246376811594203	2	276
1946	0.005284015852047556	8	1514
1947	0.002416918429003021	4	1655
1948	0.004464285714285714	9	2016
1949	0.0015987210231814548	4	2502
1950	0.00288496213487198	8	2773
1951	0.0017761989342806395	5	2815
1952	0.005147563486616335	15	2914
1953	0.004286185295087373	13	3033
1954	0.00368437212158428	12	3257
1955	0.002336448598130841	9	3852
1956	0.004691164972634871	18	3837
1957	0.004428236519927064	17	3839
1958	0.008023535704733886	30	3739
1959	0.0060288335517693315	23	3815
1960	0.004503311258278146	17	3775
1961	0.008157715839564922	36	4413
1962	0.00671946244300456	28	4167
1963	0.004363953742090334	20	4583
1964	0.006806806806806807	34	4995
1965	0.005778191985088537	31	5365
1966	0.003266787658802178	18	5510
1967	0.0030152536360411493	17	5638
1968	0.005516549648946841	33	5982
1969	0.0034518467380048328	20	5794
1970	0.0053808643013284006	32	5947
1971	0.004592651757188498	23	5008
1972	0.003235722375020223	20	6181
1973	0.0033783783783783786	20	5920
1974	0.004766444232602479	25	5245
1975	0.0052366565961732125	26	4965
1976	0.0033067496595992995	17	5141
1977	0.004260048157066124	23	5399
1978	0.0048833423765599565	27	5529
1979	0.0028414472437961733	15	5279
1980	0.003874538745387454	21	5420
1981	0.0037530493525989865	20	5329
1982	0.0037601052829479226	20	5319
1983	0.0035950804162724692	19	5285
1984	0.006010518407212622	32	5324
1985	0.004199475065616798	24	5715
1986	0.005784805244890089	30	5186
1987	0.0038398244651673065	21	5469
1988	0.005447612130016342	30	5507
1989	0.00801952580195258	46	5736
1990	0.005614035087719298	32	5700
1991	0.007129519606178917	42	5891
1992	0.008364001338240215	50	5978
1993	0.00839066957543212	50	5959
1994	0.007298059379664953	44	6029
1995	0.005914396887159533	38	6425
1996	0.007870440441955501	52	6607
1997	0.008520096314132248	46	5399
1998	0.010476978218913703	38	3627
1999	0.0077815506508206	55	7068
2000	0.007538910505836576	62	8224
2001	0.0095059772432666	66	6943
2002	0.009012464046021093	47	5215
2003	0.0075020839121978326	54	7198
2004	0.006884166417240347	46	6682
2005	0.005194805194805195	32	6160
2006	0.006051873198847263	21	3470
2007	0.005240590757503573	11	2099
2008	0.0036830758174631693	41	11132
2009	0.0037544696066746128	63	16780
2010	0.002991675338189386	46	15376
2011	0.0033360566448801744	49	14688
2012	0.002636467134040386	44	16689
2013	0.003438037193311455	66	19197
