year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00033433634236041456	2	5982
1969	0.0005177770107007249	3	5794
1970	0.0005044560282495376	3	5947
1971	0	0	5008
1972	0.0004853583562530335	3	6181
1973	0.00016891891891891893	1	5920
1974	0.00019065776930409913	1	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0.000946073793755913	5	5285
1984	0.0007513148009015778	4	5324
1985	0.00017497812773403323	1	5715
1986	0.0005784805244890089	3	5186
1987	0.0005485463521667581	3	5469
1988	0.000726348284002179	4	5507
1989	0.0003486750348675035	2	5736
1990	0	0	5700
1991	0.0005092514004413513	3	5891
1992	0.0005018400802944129	3	5978
1993	0.0001678133915086424	1	5959
1994	0.0003317299718029524	2	6029
1995	0.0001556420233463035	1	6425
1996	0.00015135462388375965	1	6607
1997	0.00018521948508983145	1	5399
1998	0.0005514199062586159	2	3627
1999	0.0002829654782116582	2	7068
2000	0.00036478599221789884	3	8224
2001	0.00043208987469393634	3	6943
2002	0	0	5215
2003	0	0	7198
2004	0.000598623166716552	4	6682
2005	0.0011363636363636363	7	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.00017966223499820338	2	11132
2009	0.00017878426698450536	3	16780
2010	0.0006503642039542144	10	15376
2011	0.0002723311546840959	4	14688
2012	0.0002396788303673078	4	16689
2013	0.00036464030838151797	7	19197
