year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0	0	5715
1986	0.0005784805244890089	3	5186
1987	0.0005485463521667581	3	5469
1988	0.0005447612130016343	3	5507
1989	0.0003486750348675035	2	5736
1990	0.0014035087719298245	8	5700
1991	0.00016975046681378373	1	5891
1992	0.0008364001338240214	5	5978
1993	0.0008390669575432119	5	5959
1994	0.001658649859014762	10	6029
1995	0.0014007782101167316	9	6425
1996	0.0012108369910700772	8	6607
1997	0.0012965363956288201	7	5399
1998	0.0005514199062586159	2	3627
1999	0.0011318619128466328	8	7068
2000	0.0006079766536964981	5	8224
2001	0.0005761198329252485	4	6943
2002	0.00019175455417066154	1	5215
2003	0.0006946373992775772	5	7198
2004	0.000299311583358276	2	6682
2005	0.000487012987012987	3	6160
2006	0.00028818443804034583	1	3470
2007	0.0009528346831824678	2	2099
2008	0.0005389867049946101	6	11132
2009	0.0008939213349225268	15	16780
2010	0.0009105098855359001	14	15376
2011	0.0012254901960784314	18	14688
2012	0.0004793576607346156	8	16689
2013	0.0001562744178777934	3	19197
