year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.0014209591474245115	4	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0.0006140620202640467	2	3257
1955	0.000778816199376947	3	3852
1956	0.0007818608287724785	3	3837
1957	0.0007814535035165407	3	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0.0010596026490066225	4	3775
1961	0.0015862225243598459	7	4413
1962	0.0021598272138228943	9	4167
1963	0.0015273838097316168	7	4583
1964	0.0004004004004004004	2	4995
1965	0.0020503261882572226	11	5365
1966	0.0018148820326678765	10	5510
1967	0.0019510464703795672	11	5638
1968	0.001170177198261451	7	5982
1969	0.0018985157059026579	11	5794
1970	0.0015133680847486128	9	5947
1971	0.0013977635782747603	7	5008
1972	0.0011325028312570782	7	6181
1973	0.0016891891891891893	10	5920
1974	0.0017159199237368923	9	5245
1975	0.0012084592145015106	6	4965
1976	0.0019451468585878235	10	5141
1977	0.0011113169105389886	6	5399
1978	0.0009043226623259179	5	5529
1979	0.0015154385300246258	8	5279
1980	0.0007380073800738007	4	5420
1981	0.0007506098705197974	4	5329
1982	0.0005640157924421884	3	5319
1983	0.000946073793755913	5	5285
1984	0.0005634861006761833	3	5324
1985	0.0010498687664041995	6	5715
1986	0.0009641342074816814	5	5186
1987	0.002011336624611446	11	5469
1988	0.0010895224260032686	6	5507
1989	0.0012203626220362621	7	5736
1990	0.0005263157894736842	3	5700
1991	0.0006790018672551349	4	5891
1992	0.00117096018735363	7	5978
1993	0.0003356267830172848	2	5959
1994	0.0006634599436059048	4	6029
1995	0.0004669260700389105	3	6425
1996	0.0006054184955350386	4	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0	0	7068
2000	0.0008511673151750973	7	8224
2001	0.001152239665850497	8	6943
2002	0.0011505273250239693	6	5215
2003	0.0008335648791330926	6	7198
2004	0.0008979347500748278	6	6682
2005	0.0003246753246753247	2	6160
2006	0.0005763688760806917	2	3470
2007	0.0028585040495474035	6	2099
2008	0.0015271289974847287	17	11132
2009	0.0018474374255065555	31	16780
2010	0.001951092611862643	30	15376
2011	0.0013616557734204794	20	14688
2012	0.001318233567020193	22	16689
2013	0.0020315674324113144	39	19197
