year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0.00038131553860819826	2	5245
1975	0.0008056394763343404	4	4965
1976	0.00019451468585878233	1	5141
1977	0.0009260974254491572	5	5399
1978	0.0005425935973955507	3	5529
1979	0.0009471490812653912	5	5279
1980	0.0009225092250922509	5	5420
1981	0.0007506098705197974	4	5329
1982	0.00037601052829479227	2	5319
1983	0.0013245033112582781	7	5285
1984	0.0018782870022539444	10	5324
1985	0.002099737532808399	12	5715
1986	0.0021210952564596993	11	5186
1987	0.0007313951362223441	4	5469
1988	0.0018158707100054477	10	5507
1989	0.0012203626220362621	7	5736
1990	0.0010526315789473684	6	5700
1991	0.001867255134951621	11	5891
1992	0.0013382402141184342	8	5978
1993	0.0011746937405604967	7	5959
1994	0.001658649859014762	10	6029
1995	0.0020233463035019454	13	6425
1996	0.0016649008627213561	11	6607
1997	0.0014817558807186516	8	5399
1998	0.0013785497656465398	5	3627
1999	0.0007074136955291454	5	7068
2000	0.0017023346303501946	14	8224
2001	0.001296269624081809	9	6943
2002	0.0028763183125599234	15	5215
2003	0.0015282022784106697	11	7198
2004	0.000598623166716552	4	6682
2005	0.001948051948051948	12	6160
2006	0.0011527377521613833	4	3470
2007	0.0004764173415912339	1	2099
2008	0.0008084800574919152	9	11132
2009	0.0016090584028605483	27	16780
2010	0.0008454734651404787	13	15376
2011	0.0014297385620915032	21	14688
2012	0.0014380729822038468	24	16689
2013	0.001146012397770485	22	19197
