year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.0019815059445178335	3	1514
1947	0.0006042296072507553	1	1655
1948	0.001488095238095238	3	2016
1949	0.0015987210231814548	4	2502
1950	0.0010818608005769925	3	2773
1951	0.0010657193605683837	3	2815
1952	0.00034317089910775565	1	2914
1953	0.0006594131223211342	2	3033
1954	0.0006140620202640467	2	3257
1955	0.0018172377985462098	7	3852
1956	0.0020849622100599426	8	3837
1957	0.0026048450117218025	10	3839
1958	0.0005349023803155924	2	3739
1959	0.0007863695937090433	3	3815
1960	0.0013245033112582781	5	3775
1961	0.0013596193065941536	6	4413
1962	0.0014398848092152627	6	4167
1963	0.0013091861226271003	6	4583
1964	0.0022022022022022024	11	4995
1965	0.0009319664492078285	5	5365
1966	0.001633393829401089	9	5510
1967	0.0012415750266051792	7	5638
1968	0.0020060180541624875	12	5982
1969	0.0015533310321021747	9	5794
1970	0.002522280141247688	15	5947
1971	0.0033945686900958465	17	5008
1972	0.00420643908752629	26	6181
1973	0.0033783783783783786	20	5920
1974	0.002669208770257388	14	5245
1975	0.004431017119838872	22	4965
1976	0.004084808403034429	21	5141
1977	0.0055565845526949435	30	5399
1978	0.004159884246699223	23	5529
1979	0.003788596325061565	20	5279
1980	0.004612546125461255	25	5420
1981	0.006004878964158379	32	5329
1982	0.004136115811242715	22	5319
1983	0.006433301797540208	34	5285
1984	0.004695717505634861	25	5324
1985	0.004549431321084864	26	5715
1986	0.0063632857693790975	33	5186
1987	0.007313951362223441	40	5469
1988	0.005266025059015798	29	5507
1989	0.005578800557880056	32	5736
1990	0.0043859649122807015	25	5700
1991	0.004753013070785944	28	5891
1992	0.0051856808297089324	31	5978
1993	0.005370028528276557	32	5959
1994	0.005639409520650191	34	6029
1995	0.006381322957198444	41	6425
1996	0.007265021946420463	48	6607
1997	0.006482681978144101	35	5399
1998	0.005514199062586159	20	3627
1999	0.007498585172608941	53	7068
2000	0.009119649805447471	75	8224
2001	0.00965000720149791	67	6943
2002	0.007286673058485139	38	5215
2003	0.007363156432342317	53	7198
2004	0.007632445375636037	51	6682
2005	0.00974025974025974	60	6160
2006	0.009221902017291067	32	3470
2007	0.009528346831824679	20	2099
2008	0.010600071864894	118	11132
2009	0.010965435041716329	184	16780
2010	0.01268210197710718	195	15376
2011	0.01273148148148148	187	14688
2012	0.013242255377793756	221	16689
2013	0.011251758087201125	216	19197
