year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.006520247083047358	19	2914
1953	0.003626772172766238	11	3033
1954	0.0033773411114522566	11	3257
1955	0.0033748701973001036	13	3852
1956	0.0023455824863174357	9	3837
1957	0.0015629070070330815	6	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0.0014398848092152627	6	4167
1963	0.0010909884355225835	5	4583
1964	0.0006006006006006006	3	4995
1965	0.0007455731593662628	4	5365
1966	0.000544464609800363	3	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.001380738695201933	8	5794
1970	0.0013452160753321001	8	5947
1971	0.0007987220447284345	4	5008
1972	0.0012942889500080893	8	6181
1973	0.0005067567567567568	3	5920
1974	0.001525262154432793	8	5245
1975	0.0014098690835850957	7	4965
1976	0.001167088115152694	6	5141
1977	0.0012965363956288201	7	5399
1978	0.001266051727256285	7	5529
1979	0.0011365788975184693	6	5279
1980	0.002214022140221402	12	5420
1981	0.0009382623381497466	5	5329
1982	0.00037601052829479227	2	5319
1983	0.000946073793755913	5	5285
1984	0.0003756574004507889	2	5324
1985	0.0005249343832020997	3	5715
1986	0.0005784805244890089	3	5186
1987	0.0005485463521667581	3	5469
1988	0.0010895224260032686	6	5507
1989	0.0008716875871687587	5	5736
1990	0.0008771929824561404	5	5700
1991	0.0010185028008827025	6	5891
1992	0.0008364001338240214	5	5978
1993	0.0010068803490518544	6	5959
1994	0.0013269198872118096	8	6029
1995	0.0004669260700389105	3	6425
1996	0.00015135462388375965	1	6607
1997	0.0007408779403593258	4	5399
1998	0	0	3627
1999	0.00042444821731748726	3	7068
2000	0.001580739299610895	13	8224
2001	0.0005761198329252485	4	6943
2002	0.0007670182166826462	4	5215
2003	0.0006946373992775772	5	7198
2004	0.000598623166716552	4	6682
2005	0.0006493506493506494	4	6160
2006	0.0005763688760806917	2	3470
2007	0.0009528346831824678	2	2099
2008	0.0004491555874955084	5	11132
2009	0.0007151370679380214	12	16780
2010	0.001040582726326743	16	15376
2011	0.0006808278867102397	10	14688
2012	0.0004793576607346156	8	16689
2013	0.000781372089388967	15	19197
