year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.00017259233690024162	1	5794
1970	0.0008407600470825626	5	5947
1971	0.0011980830670926517	6	5008
1972	0.000970716712506067	6	6181
1973	0.0008445945945945946	5	5920
1974	0.00038131553860819826	2	5245
1975	0	0	4965
1976	0.00038902937171756465	2	5141
1977	0	0	5399
1978	0.0007234581298607343	4	5529
1979	0	0	5279
1980	0.00036900369003690036	2	5420
1981	0.0003753049352598987	2	5329
1982	0.00037601052829479227	2	5319
1983	0.0001892147587511826	1	5285
1984	0.0005634861006761833	3	5324
1985	0.0006999125109361329	4	5715
1986	0.0005784805244890089	3	5186
1987	0.0007313951362223441	4	5469
1988	0.00018158707100054475	1	5507
1989	0.0003486750348675035	2	5736
1990	0.0005263157894736842	3	5700
1991	0.00016975046681378373	1	5891
1992	0.0010036801605888257	6	5978
1993	0.0010068803490518544	6	5959
1994	0.0006634599436059048	4	6029
1995	0.000622568093385214	4	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0.0013785497656465398	5	3627
1999	0.0011318619128466328	8	7068
2000	0.0012159533073929961	10	8224
2001	0.0020164194152383695	14	6943
2002	0.0019175455417066154	10	5215
2003	0.0034731869963878855	25	7198
2004	0.0013469021251122418	9	6682
2005	0.0016233766233766235	10	6160
2006	0.0020172910662824206	7	3470
2007	0.0009528346831824678	2	2099
2008	0.001167804527488322	13	11132
2009	0.0023837902264600714	40	16780
2010	0.0026664932362122787	41	15376
2011	0.004016884531590414	59	14688
2012	0.0050931751453052905	85	16689
2013	0.00322967130280773	62	19197
