year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0012084592145015106	2	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0.0005209690023443605	2	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.0003629764065335753	2	5510
1967	0	0	5638
1968	0.00033433634236041456	2	5982
1969	0.00034518467380048324	2	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00032357223750202233	2	6181
1973	0.00033783783783783786	2	5920
1974	0.00038131553860819826	2	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0.0005682894487592347	3	5279
1980	0.0007380073800738007	4	5420
1981	0	0	5329
1982	0.00037601052829479227	2	5319
1983	0	0	5285
1984	0.0005634861006761833	3	5324
1985	0.00017497812773403323	1	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0	0	5507
1989	0.0003486750348675035	2	5736
1990	0.0005263157894736842	3	5700
1991	0.0008487523340689187	5	5891
1992	0.0005018400802944129	3	5978
1993	0	0	5959
1994	0.0009951899154088573	6	6029
1995	0.000622568093385214	4	6425
1996	0.0003027092477675193	2	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.00036478599221789884	3	8224
2001	0.00028805991646262423	2	6943
2002	0.0007670182166826462	4	5215
2003	0.0005557099194220616	4	7198
2004	0.0004489673750374139	3	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0.00017966223499820338	2	11132
2009	0.0005959475566150178	10	16780
2010	0.0001951092611862643	3	15376
2011	0.00013616557734204794	2	14688
2012	0.0006591167835100965	11	16689
2013	0.0004167317810074491	8	19197
