year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0008727907484180668	4	4583
1964	0.0008008008008008008	4	4995
1965	0.0003727865796831314	2	5365
1966	0.00018148820326678765	1	5510
1967	0.000709471443774388	4	5638
1968	0.0005015045135406219	3	5982
1969	0.00034518467380048324	2	5794
1970	0.0011770640659155877	7	5947
1971	0.0005990415335463259	3	5008
1972	0.0006471444750040447	4	6181
1973	0.0006756756756756757	4	5920
1974	0.00038131553860819826	2	5245
1975	0.0008056394763343404	4	4965
1976	0.001167088115152694	6	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0.00037885963250615644	2	5279
1980	0.001107011070110701	6	5420
1981	0.0007506098705197974	4	5329
1982	0.00037601052829479227	2	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0.0006999125109361329	4	5715
1986	0.0003856536829926726	2	5186
1987	0.0007313951362223441	4	5469
1988	0.0003631741420010895	2	5507
1989	0.000697350069735007	4	5736
1990	0.0005263157894736842	3	5700
1991	0.0005092514004413513	3	5891
1992	0.0006691201070592171	4	5978
1993	0.0003356267830172848	2	5959
1994	0.0006634599436059048	4	6029
1995	0.0004669260700389105	3	6425
1996	0.00015135462388375965	1	6607
1997	0.00018521948508983145	1	5399
1998	0.0008271298593879239	3	3627
1999	0.0009903791737408036	7	7068
2000	0.00048638132295719845	4	8224
2001	0.0008641797493878727	6	6943
2002	0.0023010546500479385	12	5215
2003	0.001944984717977216	14	7198
2004	0.000598623166716552	4	6682
2005	0.0008116883116883117	5	6160
2006	0.001440922190201729	5	3470
2007	0.0004764173415912339	1	2099
2008	0.0010779734099892202	12	11132
2009	0.0004171632896305125	7	16780
2010	0.00045525494276795007	7	15376
2011	0.0010893246187363835	16	14688
2012	0.0006591167835100965	11	16689
2013	0.0008855550346408293	17	19197
