year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0012084592145015106	2	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0	0	5794
1970	0	0	5947
1971	0.00019968051118210862	1	5008
1972	0.0008089305937550558	5	6181
1973	0.00033783783783783786	2	5920
1974	0.00038131553860819826	2	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.0007313951362223441	4	5469
1988	0.00018158707100054475	1	5507
1989	0.0008716875871687587	5	5736
1990	0.00017543859649122806	1	5700
1991	0	0	5891
1992	0.00016728002676480428	1	5978
1993	0.0005034401745259272	3	5959
1994	0.0003317299718029524	2	6029
1995	0.0031128404669260703	20	6425
1996	0.003481156349326472	23	6607
1997	0.0025930727912576402	14	5399
1998	0.0005514199062586159	2	3627
1999	0.0012733446519524619	9	7068
2000	0.004255836575875486	35	8224
2001	0.0036007489557828027	25	6943
2002	0.0019175455417066154	10	5215
2003	0.0015282022784106697	11	7198
2004	0.0022448368751870696	15	6682
2005	0.0008116883116883117	5	6160
2006	0.0025936599423631124	9	3470
2007	0.0004764173415912339	1	2099
2008	0.003413582464965864	38	11132
2009	0.00500595947556615	84	16780
2010	0.006373569198751301	98	15376
2011	0.006127450980392157	90	14688
2012	0.005153094852897118	86	16689
2013	0.0086992759285305	167	19197
