year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.0019815059445178335	3	1514
1947	0.0006042296072507553	1	1655
1948	0.001984126984126984	4	2016
1949	0.0015987210231814548	4	2502
1950	0.0018031013342949874	5	2773
1951	0.0021314387211367673	6	2815
1952	0.0017158544955387784	5	2914
1953	0.0023079459281239697	7	3033
1954	0.0021492170709241634	7	3257
1955	0.0010384215991692627	4	3852
1956	0.0020849622100599426	8	3837
1957	0.0026048450117218025	10	3839
1958	0.002941963091735758	11	3739
1959	0.0010484927916120576	4	3815
1960	0.0005298013245033113	2	3775
1961	0.0015862225243598459	7	4413
1962	0.0014398848092152627	6	4167
1963	0.00196377918394065	9	4583
1964	0.0026026026026026027	13	4995
1965	0.0016775396085740913	9	5365
1966	0.0012704174228675136	7	5510
1967	0.0015963107484923732	9	5638
1968	0.0010030090270812437	6	5982
1969	0.0031066620642043494	18	5794
1970	0.0016815200941651253	10	5947
1971	0.0027955271565495207	14	5008
1972	0.0022650056625141564	14	6181
1973	0.0010135135135135136	6	5920
1974	0.0009532888465204957	5	5245
1975	0.002416918429003021	12	4965
1976	0.001167088115152694	6	5141
1977	0.0018521948508983144	10	5399
1978	0.00253210345451257	14	5529
1979	0.002462587611290017	13	5279
1980	0.0007380073800738007	4	5420
1981	0.0024394820791893415	13	5329
1982	0.0018800526414739613	10	5319
1983	0.002270577105014191	12	5285
1984	0.0015026296018031556	8	5324
1985	0.0012248468941382328	7	5715
1986	0.003470883146934053	18	5186
1987	0.0027427317608337905	15	5469
1988	0.002360631923007082	13	5507
1989	0.0024407252440725243	14	5736
1990	0.0017543859649122807	10	5700
1991	0.002037005601765405	12	5891
1992	0.00117096018735363	7	5978
1993	0.002181574089612351	13	5959
1994	0.0023221098026206667	14	6029
1995	0.0010894941634241246	7	6425
1996	0.0012108369910700772	8	6607
1997	0.0018521948508983144	10	5399
1998	0.0019299696719051558	7	3627
1999	0.0011318619128466328	8	7068
2000	0.00048638132295719845	4	8224
2001	0.0015843295405444332	11	6943
2002	0.0013422818791946308	7	5215
2003	0.000972492358988608	7	7198
2004	0.0010475905417539658	7	6682
2005	0.001948051948051948	12	6160
2006	0.00028818443804034583	1	3470
2007	0.0009528346831824678	2	2099
2008	0.0005389867049946101	6	11132
2009	0.000834326579261025	14	16780
2010	0.0005202913631633715	8	15376
2011	0.0006127450980392157	9	14688
2012	0.0008987956138774043	15	16689
2013	0.0008855550346408293	17	19197
