year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.001041938004688721	4	3839
1958	0.0005349023803155924	2	3739
1959	0	0	3815
1960	0	0	3775
1961	0.0006798096532970768	3	4413
1962	0.0007199424046076314	3	4167
1963	0.0004363953742090334	2	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0.0009074410163339383	5	5510
1967	0	0	5638
1968	0.0006686726847208291	4	5982
1969	0.0005177770107007249	3	5794
1970	0.0005044560282495376	3	5947
1971	0.001996805111821086	10	5008
1972	0.0012942889500080893	8	6181
1973	0.0011824324324324325	7	5920
1974	0.00038131553860819826	2	5245
1975	0.0014098690835850957	7	4965
1976	0.00038902937171756465	2	5141
1977	0.0009260974254491572	5	5399
1978	0.0016277807921866521	9	5529
1979	0.0018942981625307824	10	5279
1980	0.0014760147601476014	8	5420
1981	0.001125914805779696	6	5329
1982	0.0013160368490317729	7	5319
1983	0.000946073793755913	5	5285
1984	0.0015026296018031556	8	5324
1985	0.0017497812773403325	10	5715
1986	0.0030852294639413806	16	5186
1987	0.0032912781130005485	18	5469
1988	0.002723806065008171	15	5507
1989	0.0024407252440725243	14	5736
1990	0.002105263157894737	12	5700
1991	0.0022067560685791886	13	5891
1992	0.0015055202408832385	9	5978
1993	0.0018459473065950663	11	5959
1994	0.0013269198872118096	8	6029
1995	0.001245136186770428	8	6425
1996	0.0006054184955350386	4	6607
1997	0.0005556584552694943	3	5399
1998	0.0005514199062586159	2	3627
1999	0.0002829654782116582	2	7068
2000	0.0006079766536964981	5	8224
2001	0.0005761198329252485	4	6943
2002	0.0005752636625119846	3	5215
2003	0.0005557099194220616	4	7198
2004	0.0004489673750374139	3	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.00005959475566150179	1	16780
2010	0.0003251821019771072	5	15376
2011	0.00047657952069716776	7	14688
2012	0.0002396788303673078	4	16689
2013	0.00036464030838151797	7	19197
