year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000354735721887194	2	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0.0004853583562530335	3	6181
1973	0.00033783783783783786	2	5920
1974	0.00019065776930409913	1	5245
1975	0.0012084592145015106	6	4965
1976	0.0015561174868702586	8	5141
1977	0.0007408779403593258	4	5399
1978	0.0010851871947911015	6	5529
1979	0.0017048683462777042	9	5279
1980	0.002029520295202952	11	5420
1981	0.0026271345468192905	14	5329
1982	0.0020680579056213573	11	5319
1983	0.002270577105014191	12	5285
1984	0.0033809166040570998	18	5324
1985	0.003499562554680665	20	5715
1986	0.004627844195912071	24	5186
1987	0.006034009873834339	33	5469
1988	0.004539676775013619	25	5507
1989	0.005753138075313808	33	5736
1990	0.0043859649122807015	25	5700
1991	0.0035647598030894585	21	5891
1992	0.00351288056206089	21	5978
1993	0.004698774962241987	28	5959
1994	0.0053076795488472385	32	6029
1995	0.004980544747081712	32	6425
1996	0.003481156349326472	23	6607
1997	0.004445267642155954	24	5399
1998	0.0022056796250344637	8	3627
1999	0.0025466893039049238	18	7068
2000	0.0029182879377431907	24	8224
2001	0.0031686590810888664	22	6943
2002	0.0015340364333652923	8	5215
2003	0.0031953320366768546	23	7198
2004	0.0026938042502244837	18	6682
2005	0.0008116883116883117	5	6160
2006	0.0011527377521613833	4	3470
2007	0.0023820867079561697	5	2099
2008	0.001437297879985627	16	11132
2009	0.0013110846245530394	22	16780
2010	0.0015608740894901144	24	15376
2011	0.0015659041394335512	23	14688
2012	0.001198394151836539	20	16689
2013	0.0013022868156482785	25	19197
