year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.0007814535035165407	3	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0.0009064128710627691	4	4413
1962	0.0014398848092152627	6	4167
1963	0.002181976871045167	10	4583
1964	0.0008008008008008008	4	4995
1965	0.0007455731593662628	4	5365
1966	0.002177858439201452	12	5510
1967	0.000709471443774388	4	5638
1968	0.00033433634236041456	2	5982
1969	0.0017259233690024164	10	5794
1970	0.0010089120564990752	6	5947
1971	0.0007987220447284345	4	5008
1972	0.0008089305937550558	5	6181
1973	0.0011824324324324325	7	5920
1974	0.001525262154432793	8	5245
1975	0.0016112789526686808	8	4965
1976	0.0015561174868702586	8	5141
1977	0.0016669753658084831	9	5399
1978	0.0010851871947911015	6	5529
1979	0.0007577192650123129	4	5279
1980	0.0012915129151291514	7	5420
1981	0.0018765246762994933	10	5329
1982	0.0005640157924421884	3	5319
1983	0.0011352885525070956	6	5285
1984	0.002441773102930128	13	5324
1985	0.0015748031496062992	9	5715
1986	0.0015426147319706903	8	5186
1987	0.0010970927043335162	6	5469
1988	0.0012711094970038134	7	5507
1989	0.000697350069735007	4	5736
1990	0.002105263157894737	12	5700
1991	0.0015277542013240537	9	5891
1992	0.0008364001338240214	5	5978
1993	0.0011746937405604967	7	5959
1994	0.001658649859014762	10	6029
1995	0.0010894941634241246	7	6425
1996	0.0006054184955350386	4	6607
1997	0.0014817558807186516	8	5399
1998	0.0013785497656465398	5	3627
1999	0.0012733446519524619	9	7068
2000	0.0017023346303501946	14	8224
2001	0.002160449373469682	15	6943
2002	0.0024928092042186003	13	5215
2003	0.002361767157543762	17	7198
2004	0.001197246333433104	8	6682
2005	0.0017857142857142857	11	6160
2006	0.0008645533141210375	3	3470
2007	0.0019056693663649356	4	2099
2008	0.0013474667624865254	15	11132
2009	0.0017878426698450535	30	16780
2010	0.0022762747138397503	35	15376
2011	0.0027233115468409588	40	14688
2012	0.0017975912277548086	30	16689
2013	0.0016669271240297963	32	19197
