year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.0011330160888284614	5	4413
1962	0.00047996160307175426	2	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.001088929219600726	6	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.0006903693476009665	4	5794
1970	0.0013452160753321001	8	5947
1971	0.00019968051118210862	1	5008
1972	0.0008089305937550558	5	6181
1973	0.0005067567567567568	3	5920
1974	0.0009532888465204957	5	5245
1975	0.0006042296072507553	3	4965
1976	0.0007780587434351293	4	5141
1977	0.0007408779403593258	4	5399
1978	0.0010851871947911015	6	5529
1979	0.0005682894487592347	3	5279
1980	0.0012915129151291514	7	5420
1981	0.000562957402889848	3	5329
1982	0.0005640157924421884	3	5319
1983	0.0001892147587511826	1	5285
1984	0.0005634861006761833	3	5324
1985	0.0005249343832020997	3	5715
1986	0.0009641342074816814	5	5186
1987	0.00036569756811117204	2	5469
1988	0.0005447612130016343	3	5507
1989	0.00017433751743375174	1	5736
1990	0.00017543859649122806	1	5700
1991	0.0010185028008827025	6	5891
1992	0.0005018400802944129	3	5978
1993	0.0008390669575432119	5	5959
1994	0.000829324929507381	5	6029
1995	0.0004669260700389105	3	6425
1996	0.00015135462388375965	1	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.0002829654782116582	2	7068
2000	0.00024319066147859923	2	8224
2001	0.00043208987469393634	3	6943
2002	0.0003835091083413231	2	5215
2003	0.0004167824395665463	3	7198
2004	0.00074827895839569	5	6682
2005	0.000487012987012987	3	6160
2006	0.0020172910662824206	7	3470
2007	0.0009528346831824678	2	2099
2008	0.0022457779374775422	25	11132
2009	0.0020858164481525627	35	16780
2010	0.004877731529656607	75	15376
2011	0.003880718954248366	57	14688
2012	0.003295583917550482	55	16689
2013	0.001198103870396416	23	19197
