year	portion	word_count	total_count
1945	0.050724637681159424	14	276
1946	0.0726552179656539	110	1514
1947	0.09909365558912386	164	1655
1948	0.08630952380952381	174	2016
1949	0.06474820143884892	162	2502
1950	0.06491164803461955	180	2773
1951	0.056127886323268206	158	2815
1952	0.05662319835277969	165	2914
1953	0.06956808440487966	211	3033
1954	0.07061713233036537	230	3257
1955	0.07191069574247144	277	3852
1956	0.08470158978368517	325	3837
1957	0.06538160979421724	251	3839
1958	0.06017651778550415	225	3739
1959	0.05242463958060288	200	3815
1960	0.0495364238410596	187	3775
1961	0.060049852707908455	265	4413
1962	0.05759539236861051	240	4167
1963	0.05302203796639755	243	4583
1964	0.04364364364364364	218	4995
1965	0.036346691519105315	195	5365
1966	0.03430127041742287	189	5510
1967	0.03103937566512948	175	5638
1968	0.02774991641591441	166	5982
1969	0.029340697273041078	170	5794
1970	0.030099209685555742	179	5947
1971	0.026757188498402557	134	5008
1972	0.02637113735641482	163	6181
1973	0.018581081081081082	110	5920
1974	0.02001906577693041	105	5245
1975	0.01933534743202417	96	4965
1976	0.02839914413538222	146	5141
1977	0.021300240785330618	115	5399
1978	0.021161150298426478	117	5529
1979	0.025762455010418638	136	5279
1980	0.021402214022140223	116	5420
1981	0.022893601050853817	122	5329
1982	0.020680579056213573	110	5319
1983	0.02194891201513718	116	5285
1984	0.017843726521412473	95	5324
1985	0.022397200349956254	128	5715
1986	0.022946394138064017	119	5186
1987	0.024501737063448527	134	5469
1988	0.01670601053205012	92	5507
1989	0.01882845188284519	108	5736
1990	0.02298245614035088	131	5700
1991	0.025971821422508912	153	5891
1992	0.02425560388089662	145	5978
1993	0.021647927504614868	129	5959
1994	0.02620666777243324	158	6029
1995	0.02443579766536965	157	6425
1996	0.02255183895868019	149	6607
1997	0.022226338210779774	120	5399
1998	0.022883926109732562	83	3627
1999	0.016553480475382003	117	7068
2000	0.02164396887159533	178	8224
2001	0.02189255365115944	152	6943
2002	0.014573346116970278	76	5215
2003	0.01639344262295082	118	7198
2004	0.014217300209518108	95	6682
2005	0.014448051948051948	89	6160
2006	0.013256484149855908	46	3470
2007	0.014768937589328252	31	2099
2008	0.019493352497305067	217	11132
2009	0.02163289630512515	363	16780
2010	0.01860041623309053	286	15376
2011	0.015522875816993464	228	14688
2012	0.010605788243753371	177	16689
2013	0.018596655727457414	357	19197
