year	portion	word_count	total_count
1945	0.06884057971014493	19	276
1946	0.05151915455746367	78	1514
1947	0.04471299093655589	74	1655
1948	0.031746031746031744	64	2016
1949	0.03117505995203837	78	2502
1950	0.03389830508474576	94	2773
1951	0.03801065719360568	107	2815
1952	0.03603294440631435	105	2914
1953	0.033300362677217275	101	3033
1954	0.0368437212158428	120	3257
1955	0.033229491173416406	128	3852
1956	0.033880635913474066	130	3837
1957	0.03047668663714509	117	3839
1958	0.04092003209414282	153	3739
1959	0.02857142857142857	109	3815
1960	0.03576158940397351	135	3775
1961	0.03761613414910492	166	4413
1962	0.0398368130549556	166	4167
1963	0.04276674667248527	196	4583
1964	0.04104104104104104	205	4995
1965	0.039328984156570365	211	5365
1966	0.04500907441016334	248	5510
1967	0.04097197587797091	231	5638
1968	0.04680708793045804	280	5982
1969	0.04867103900586814	282	5794
1970	0.04186985034471162	249	5947
1971	0.04532747603833866	227	5008
1972	0.040446529687752794	250	6181
1973	0.04527027027027027	268	5920
1974	0.04938036224976168	259	5245
1975	0.04954682779456193	246	4965
1976	0.0517409064384361	266	5141
1977	0.058158918318207076	314	5399
1978	0.05317417254476397	294	5529
1979	0.059859821935972723	316	5279
1980	0.0555350553505535	301	5420
1981	0.05760930756239445	307	5329
1982	0.053957510810302686	287	5319
1983	0.05733207190160833	303	5285
1984	0.05559729526671676	296	5324
1985	0.0610673665791776	349	5715
1986	0.06382568453528731	331	5186
1987	0.06326567928323276	346	5469
1988	0.05956055928817868	328	5507
1989	0.06520223152022316	374	5736
1990	0.06385964912280702	364	5700
1991	0.06416567645561025	378	5891
1992	0.05888256942121111	352	5978
1993	0.053029031716731	316	5959
1994	0.044617681207497095	269	6029
1995	0.04124513618677043	265	6425
1996	0.03753594672317239	248	6607
1997	0.03611779959251713	195	5399
1998	0.02867383512544803	104	3627
1999	0.030560271646859084	216	7068
2000	0.036357003891050586	299	8224
2001	0.03888808872245427	270	6943
2002	0.039309683604985615	205	5215
2003	0.032370102806335094	233	7198
2004	0.03187668362765639	213	6682
2005	0.024675324675324677	152	6160
2006	0.02219020172910663	77	3470
2007	0.02906145783706527	61	2099
2008	0.017966223499820338	200	11132
2009	0.026936829558998808	452	16780
2010	0.028355879292403748	436	15376
2011	0.029343681917211328	431	14688
2012	0.026664269878362994	445	16689
2013	0.022659790592280044	435	19197
