year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0.0030211480362537764	5	1655
1948	0.001984126984126984	4	2016
1949	0.004396482813749001	11	2502
1950	0.0010818608005769925	3	2773
1951	0.002486678507992895	7	2815
1952	0.0017158544955387784	5	2914
1953	0.003297065611605671	10	3033
1954	0.00276327909118821	9	3257
1955	0.0033748701973001036	13	3852
1956	0.004169924420119885	16	3837
1957	0.004167752018754884	16	3839
1958	0.0032094142818935543	12	3739
1959	0.0020969855832241153	8	3815
1960	0.003973509933774834	15	3775
1961	0.004532064355313846	20	4413
1962	0.0028797696184305254	12	4167
1963	0.0041457560549858176	19	4583
1964	0.006006006006006006	30	4995
1965	0.005964585274930103	32	5365
1966	0.004718693284936479	26	5510
1967	0.0037247250798155373	21	5638
1968	0.0028418589100635237	17	5982
1969	0.0025888850535036242	15	5794
1970	0.0018496721035816377	11	5947
1971	0.0017971246006389776	9	5008
1972	0.0016178611875101116	10	6181
1973	0.0018581081081081082	11	5920
1974	0.00228789323164919	12	5245
1975	0.0016112789526686808	8	4965
1976	0.0019451468585878235	10	5141
1977	0.0033339507316169662	18	5399
1978	0.0023512389220473866	13	5529
1979	0.0017048683462777042	9	5279
1980	0.0035055350553505533	19	5420
1981	0.00281478701444924	15	5329
1982	0.0026320736980635457	14	5319
1983	0.0020813623462630085	11	5285
1984	0.002441773102930128	13	5324
1985	0.002099737532808399	12	5715
1986	0.0030852294639413806	16	5186
1987	0.0036569756811117207	20	5469
1988	0.0036317414200108954	20	5507
1989	0.003312412831241283	19	5736
1990	0.002456140350877193	14	5700
1991	0.0027160074690205397	16	5891
1992	0.002843760455001673	17	5978
1993	0.0023493874811209934	14	5959
1994	0.0023221098026206667	14	6029
1995	0.0014007782101167316	9	6425
1996	0.002573028606023914	17	6607
1997	0.0024078533061678087	13	5399
1998	0.0016542597187758478	6	3627
1999	0.0014148273910582908	10	7068
2000	0.0030398832684824903	25	8224
2001	0.0007201497911565605	5	6943
2002	0.0028763183125599234	15	5215
2003	0.002361767157543762	17	7198
2004	0.001197246333433104	8	6682
2005	0.0012987012987012987	8	6160
2006	0.001440922190201729	5	3470
2007	0.0028585040495474035	6	2099
2008	0.001167804527488322	13	11132
2009	0.0008939213349225268	15	16780
2010	0.0014308012486992717	22	15376
2011	0.0010893246187363835	16	14688
2012	0.0019773503505302894	33	16689
2013	0.001146012397770485	22	19197
