year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0016016016016016017	8	4995
1965	0.0003727865796831314	2	5365
1966	0.0009074410163339383	5	5510
1967	0.000354735721887194	2	5638
1968	0.0008358408559010365	5	5982
1969	0	0	5794
1970	0.0010089120564990752	6	5947
1971	0.0005990415335463259	3	5008
1972	0.0006471444750040447	4	6181
1973	0.0011824324324324325	7	5920
1974	0.001525262154432793	8	5245
1975	0.0014098690835850957	7	4965
1976	0.000583544057576347	3	5141
1977	0.0005556584552694943	3	5399
1978	0	0	5529
1979	0.0018942981625307824	10	5279
1980	0.0016605166051660517	9	5420
1981	0.0015012197410395947	8	5329
1982	0.0011280315848843769	6	5319
1983	0.0007568590350047304	4	5285
1984	0.0007513148009015778	4	5324
1985	0.0005249343832020997	3	5715
1986	0.0009641342074816814	5	5186
1987	0.0009142439202779302	5	5469
1988	0.0005447612130016343	3	5507
1989	0.0010460251046025104	6	5736
1990	0.0008771929824561404	5	5700
1991	0.0010185028008827025	6	5891
1992	0.0010036801605888257	6	5978
1993	0.0010068803490518544	6	5959
1994	0.0003317299718029524	2	6029
1995	0.0007782101167315176	5	6425
1996	0.0007567731194187983	5	6607
1997	0.0007408779403593258	4	5399
1998	0.0011028398125172319	4	3627
1999	0.0002829654782116582	2	7068
2000	0.0007295719844357977	6	8224
2001	0.001440299582313121	10	6943
2002	0.0007670182166826462	4	5215
2003	0.0002778549597110308	2	7198
2004	0.000299311583358276	2	6682
2005	0.0008116883116883117	5	6160
2006	0.00028818443804034583	1	3470
2007	0.0009528346831824678	2	2099
2008	0.0004491555874955084	5	11132
2009	0.0005363528009535161	9	16780
2010	0.0007804370447450572	12	15376
2011	0.0004084967320261438	6	14688
2012	0.0004793576607346156	8	16689
2013	0.0006250976715111736	12	19197
