year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.00017259233690024162	1	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0	0	5285
1984	0.00018782870022539445	1	5324
1985	0	0	5715
1986	0	0	5186
1987	0	0	5469
1988	0.0003631741420010895	2	5507
1989	0	0	5736
1990	0.0003508771929824561	2	5700
1991	0	0	5891
1992	0.00016728002676480428	1	5978
1993	0	0	5959
1994	0.0001658649859014762	1	6029
1995	0.000311284046692607	2	6425
1996	0	0	6607
1997	0	0	5399
1998	0.0005514199062586159	2	3627
1999	0.0002829654782116582	2	7068
2000	0.00024319066147859923	2	8224
2001	0	0	6943
2002	0	0	5215
2003	0.0001389274798555154	1	7198
2004	0	0	6682
2005	0.00016233766233766234	1	6160
2006	0.0005763688760806917	2	3470
2007	0.0009528346831824678	2	2099
2008	0.00008983111749910169	1	11132
2009	0.00011918951132300358	2	16780
2010	0.0001951092611862643	3	15376
2011	0.0002042483660130719	3	14688
2012	0.0004793576607346156	8	16689
2013	0.00020836589050372454	4	19197
