year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0.0012084592145015106	2	1655
1948	0.001488095238095238	3	2016
1949	0.0031974420463629096	8	2502
1950	0.00144248106743599	4	2773
1951	0.00035523978685612787	1	2815
1952	0.002059025394646534	6	2914
1953	0.0009891196834817012	3	3033
1954	0.0006140620202640467	2	3257
1955	0.0010384215991692627	4	3852
1956	0.0013031013812874641	5	3837
1957	0.0018233915082052619	7	3839
1958	0.0008023535704733886	3	3739
1959	0.0015727391874180866	6	3815
1960	0.0005298013245033113	2	3775
1961	0.0015862225243598459	7	4413
1962	0.0009599232061435085	4	4167
1963	0.002836569932358717	13	4583
1964	0.0012012012012012011	6	4995
1965	0.0014911463187325257	8	5365
1966	0.002540834845735027	14	5510
1967	0.0019510464703795672	11	5638
1968	0.004680708793045804	28	5982
1969	0.0031066620642043494	18	5794
1970	0.0036993442071632755	22	5947
1971	0.0017971246006389776	9	5008
1972	0.0006471444750040447	4	6181
1973	0.0016891891891891893	10	5920
1974	0.003050524308865586	16	5245
1975	0.0014098690835850957	7	4965
1976	0.0013616028010114763	7	5141
1977	0.0014817558807186516	8	5399
1978	0.00506420690902514	28	5529
1979	0.0020837279787838604	11	5279
1980	0.0014760147601476014	8	5420
1981	0.0024394820791893415	13	5329
1982	0.0013160368490317729	7	5319
1983	0.004919583727530747	26	5285
1984	0.002629601803155522	14	5324
1985	0.002099737532808399	12	5715
1986	0.0030852294639413806	16	5186
1987	0.0023770341927226183	13	5469
1988	0.002179044852006537	12	5507
1989	0.0015690376569037657	9	5736
1990	0.0019298245614035089	11	5700
1991	0.0027160074690205397	16	5891
1992	0.0026764804282368685	16	5978
1993	0.0031884544386642055	19	5959
1994	0.001658649859014762	10	6029
1995	0.002490272373540856	16	6425
1996	0.0027243832299076736	18	6607
1997	0.002037414335988146	11	5399
1998	0.0024813895781637717	9	3627
1999	0.0021222410865874364	15	7068
2000	0.00316147859922179	26	8224
2001	0.004176868788708051	29	6943
2002	0.0024928092042186003	13	5215
2003	0.001944984717977216	14	7198
2004	0.00299311583358276	20	6682
2005	0.0025974025974025974	16	6160
2006	0.00345821325648415	12	3470
2007	0.0019056693663649356	4	2099
2008	0.0016169601149838304	18	11132
2009	0.002026221692491061	34	16780
2010	0.0021462018730489074	33	15376
2011	0.0029275599128540304	43	14688
2012	0.0022769488884894244	38	16689
2013	0.0018232015419075898	35	19197
