year	portion	word_count	total_count
1945	0	0	276
1946	0.002642007926023778	4	1514
1947	0.0018126888217522659	3	1655
1948	0.003472222222222222	7	2016
1949	0.003996802557953637	10	2502
1950	0.0025243418680129825	7	2773
1951	0.003907637655417406	11	2815
1952	0.0030885380919698007	9	2914
1953	0.002967359050445104	9	3033
1954	0.0012281240405280934	4	3257
1955	0.0018172377985462098	7	3852
1956	0.003127443315089914	12	3837
1957	0.0036467830164105238	14	3839
1958	0.0016047071409467772	6	3739
1959	0.0015727391874180866	6	3815
1960	0.0013245033112582781	5	3775
1961	0.0029458418309539994	13	4413
1962	0.0026397888168946484	11	4167
1963	0.005454942177612917	25	4583
1964	0.0038038038038038036	19	4995
1965	0.004659832246039142	25	5365
1966	0.006896551724137931	38	5510
1967	0.007449450159631075	42	5638
1968	0.009695753928452023	58	5982
1969	0.007939247497411116	46	5794
1970	0.008071296451992602	48	5947
1971	0.007388178913738019	37	5008
1972	0.006471444750040446	40	6181
1973	0.006587837837837838	39	5920
1974	0.004194470924690181	22	5245
1975	0.004229607250755287	21	4965
1976	0.004473837774751994	23	5141
1977	0.004630487127245786	25	5399
1978	0.009043226623259178	50	5529
1979	0.006630043568857738	35	5279
1980	0.005904059040590406	32	5420
1981	0.010508538187277162	56	5329
1982	0.003196089490505734	17	5319
1983	0.008136234626300852	43	5285
1984	0.008827948910593538	47	5324
1985	0.005249343832020997	30	5715
1986	0.006556112610875434	34	5186
1987	0.006216858657889925	34	5469
1988	0.008171418195024514	45	5507
1989	0.006276150627615063	36	5736
1990	0.007368421052631579	42	5700
1991	0.00865727380750297	51	5891
1992	0.00819672131147541	49	5978
1993	0.008222856183923478	49	5959
1994	0.008127384309172333	49	6029
1995	0.007937743190661479	51	6425
1996	0.007113667322536704	47	6607
1997	0.009446193739581403	51	5399
1998	0.006065618968844775	22	3627
1999	0.006508205998868138	46	7068
2000	0.008511673151750972	70	8224
2001	0.009073887368572663	63	6943
2002	0.00862895493767977	45	5215
2003	0.009169213670464018	66	7198
2004	0.009278659084106555	62	6682
2005	0.009415584415584415	58	6160
2006	0.012103746397694525	42	3470
2007	0.006193425440686041	13	2099
2008	0.005569529284944304	62	11132
2009	0.00631704410011919	106	16780
2010	0.006633714880332987	102	15376
2011	0.006535947712418301	96	14688
2012	0.0059320510515908685	99	16689
2013	0.006303068187737668	121	19197
