year	portion	word_count	total_count
1945	0	0	276
1946	0.0033025099075297227	5	1514
1947	0.0018126888217522659	3	1655
1948	0.001488095238095238	3	2016
1949	0.0035971223021582736	9	2502
1950	0.006851785070320952	19	2773
1951	0.004618117229129663	13	2815
1952	0.0037748798901853123	11	2914
1953	0.003956478733926805	12	3033
1954	0.007982806263432606	26	3257
1955	0.004413291796469367	17	3852
1956	0.0049517852488923635	19	3837
1957	0.005991143526960146	23	3839
1958	0.0048141214228403315	18	3739
1959	0.004980340760157274	19	3815
1960	0.003708609271523179	14	3775
1961	0.0063448900974393836	28	4413
1962	0.007679385649148068	32	4167
1963	0.006109535238926467	28	4583
1964	0.007207207207207207	36	4995
1965	0.005405405405405406	29	5365
1966	0.00852994555353902	47	5510
1967	0.010464703795672225	59	5638
1968	0.008358408559010365	50	5982
1969	0.009147393855712806	53	5794
1970	0.010257272574407264	61	5947
1971	0.006389776357827476	32	5008
1972	0.0066332308687914576	41	6181
1973	0.006587837837837838	39	5920
1974	0.0076263107721639654	40	5245
1975	0.006445115810674723	32	4965
1976	0.0050573818323283405	26	5141
1977	0.0070383404334135955	38	5399
1978	0.005425935973955507	30	5529
1979	0.007008903201363895	37	5279
1980	0.006826568265682657	37	5420
1981	0.004878964158378683	26	5329
1982	0.0045121263395375075	24	5319
1983	0.006811731315042573	36	5285
1984	0.006198347107438017	33	5324
1985	0.006124234470691163	35	5715
1986	0.007327419976860779	38	5186
1987	0.008228195282501372	45	5469
1988	0.0070818957690212455	39	5507
1989	0.006101813110181311	35	5736
1990	0.0043859649122807015	25	5700
1991	0.004922763537599729	29	5891
1992	0.004349280695884911	26	5978
1993	0.0055378419197851985	33	5959
1994	0.006800464421960524	41	6029
1995	0.0073151750972762645	47	6425
1996	0.004691993340396549	31	6607
1997	0.006482681978144101	35	5399
1998	0.004962779156327543	18	3627
1999	0.0055178268251273345	39	7068
2000	0.008511673151750972	70	8224
2001	0.006625378078640358	46	6943
2002	0.007670182166826462	40	5215
2003	0.009308141150319534	67	7198
2004	0.006135887458844657	41	6682
2005	0.006006493506493507	37	6160
2006	0.006051873198847263	21	3470
2007	0.007146260123868509	15	2099
2008	0.004401724757455983	49	11132
2009	0.005840286054827175	98	16780
2010	0.005528095733610822	85	15376
2011	0.004629629629629629	68	14688
2012	0.004194379531427887	70	16689
2013	0.004740324008959733	91	19197
