year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.00034518467380048324	2	5794
1970	0.0008407600470825626	5	5947
1971	0.0005990415335463259	3	5008
1972	0.00032357223750202233	2	6181
1973	0.0006756756756756757	4	5920
1974	0.0005719733079122975	3	5245
1975	0.0008056394763343404	4	4965
1976	0.0007780587434351293	4	5141
1977	0.0005556584552694943	3	5399
1978	0.0005425935973955507	3	5529
1979	0.0007577192650123129	4	5279
1980	0.001107011070110701	6	5420
1981	0.0009382623381497466	5	5329
1982	0.0005640157924421884	3	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.0005249343832020997	3	5715
1986	0.0003856536829926726	2	5186
1987	0.002011336624611446	11	5469
1988	0.0009079353550027238	5	5507
1989	0.0005230125523012552	3	5736
1990	0.00017543859649122806	1	5700
1991	0.0005092514004413513	3	5891
1992	0.0010036801605888257	6	5978
1993	0.0003356267830172848	2	5959
1994	0.0004975949577044286	3	6029
1995	0.0015564202334630351	10	6425
1996	0.00015135462388375965	1	6607
1997	0.0003704389701796629	2	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.0009727626459143969	8	8224
2001	0	0	6943
2002	0.0005752636625119846	3	5215
2003	0.0016671297582661851	12	7198
2004	0.001197246333433104	8	6682
2005	0.0008116883116883117	5	6160
2006	0.001440922190201729	5	3470
2007	0.0004764173415912339	1	2099
2008	0.0004491555874955084	5	11132
2009	0.0002979737783075089	5	16780
2010	0.0005853277835587929	9	15376
2011	0.0006808278867102397	10	14688
2012	0.0004793576607346156	8	16689
2013	0.00046882325363338024	9	19197
