year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.0005212405525149857	2	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0006006006006006006	3	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.00039936102236421724	2	5008
1972	0.0006471444750040447	4	6181
1973	0.0005067567567567568	3	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0.0009725734292939117	5	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0.000562957402889848	3	5329
1982	0.00018800526414739614	1	5319
1983	0.0005676442762535478	3	5285
1984	0	0	5324
1985	0.00034995625546806647	2	5715
1986	0.0001928268414963363	1	5186
1987	0	0	5469
1988	0.0003631741420010895	2	5507
1989	0	0	5736
1990	0.00017543859649122806	1	5700
1991	0.0006790018672551349	4	5891
1992	0.0005018400802944129	3	5978
1993	0	0	5959
1994	0.0001658649859014762	1	6029
1995	0	0	6425
1996	0	0	6607
1997	0.00018521948508983145	1	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.00012159533073929961	1	8224
2001	0	0	6943
2002	0.0003835091083413231	2	5215
2003	0.0002778549597110308	2	7198
2004	0.000149655791679138	1	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0	0	11132
2009	0	0	16780
2010	0.00006503642039542144	1	15376
2011	0	0	14688
2012	0.00005991970759182695	1	16689
2013	0	0	19197
