year	portion	word_count	total_count
1945	0.06884057971014493	19	276
1946	0.10634081902245707	161	1514
1947	0.0797583081570997	132	1655
1948	0.07341269841269842	148	2016
1949	0.08193445243804956	205	2502
1950	0.08077893977641544	224	2773
1951	0.0738898756660746	208	2815
1952	0.08853809196980096	258	2914
1953	0.07945928123969667	241	3033
1954	0.08504758980657047	277	3257
1955	0.09319833852544133	359	3852
1956	0.07401615845712796	284	3837
1957	0.07033081531648867	270	3839
1958	0.05803690826424177	217	3739
1959	0.042988204456094366	164	3815
1960	0.04794701986754967	181	3775
1961	0.05302515295717199	234	4413
1962	0.0587952963762899	245	4167
1963	0.05520401483744272	253	4583
1964	0.05025025025025025	251	4995
1965	0.06281453867660765	337	5365
1966	0.055535390199637026	306	5510
1967	0.05835402625044342	329	5638
1968	0.057004346372450686	341	5982
1969	0.0597169485674836	346	5794
1970	0.057676139229863796	343	5947
1971	0.06130191693290735	307	5008
1972	0.06261122795664131	387	6181
1973	0.06351351351351352	376	5920
1974	0.07550047664442326	396	5245
1975	0.07875125881168177	391	4965
1976	0.07119237502431433	366	5141
1977	0.08094091498425635	437	5399
1978	0.07994212334961114	442	5529
1979	0.07766622466376208	410	5279
1980	0.07546125461254613	409	5420
1981	0.08144117095139801	434	5329
1982	0.0921225794322241	490	5319
1983	0.0783349101229896	414	5285
1984	0.07719759579263712	411	5324
1985	0.08398950131233596	480	5715
1986	0.07886617817200155	409	5186
1987	0.08356189431340282	457	5469
1988	0.08371163973125113	461	5507
1989	0.07391910739191074	424	5736
1990	0.06543859649122807	373	5700
1991	0.06637243252418944	391	5891
1992	0.06206088992974239	371	5978
1993	0.07434133243832858	443	5959
1994	0.06866810416321115	414	6029
1995	0.06785992217898833	436	6425
1996	0.05933101256243378	392	6607
1997	0.06556769772180034	354	5399
1998	0.052109181141439205	189	3627
1999	0.041312959818902095	292	7068
2000	0.04559824902723735	375	8224
2001	0.05487541408612991	381	6943
2002	0.04947267497603068	258	5215
2003	0.049597110308419005	357	7198
2004	0.039509129003292426	264	6682
2005	0.040584415584415584	250	6160
2006	0.045821325648414984	159	3470
2007	0.049070986183897096	103	2099
2008	0.036920589292130795	411	11132
2009	0.03867699642431466	649	16780
2010	0.04923257023933403	757	15376
2011	0.03771786492374728	554	14688
2012	0.034274072742525016	572	16689
2013	0.03448455487836641	662	19197
