year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0.00018765246762994934	1	5329
1982	0.0005640157924421884	3	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.0013998250218722659	8	5715
1986	0.0007713073659853452	4	5186
1987	0.0032912781130005485	18	5469
1988	0.0019974577810059923	11	5507
1989	0.0024407252440725243	14	5736
1990	0.0015789473684210526	9	5700
1991	0.0030555084026481073	18	5891
1992	0.00351288056206089	21	5978
1993	0.003020641047155563	18	5959
1994	0.0036490296898324765	22	6029
1995	0.003424124513618677	22	6425
1996	0.00438928409262903	29	6607
1997	0.004074828671976292	22	5399
1998	0.0013785497656465398	5	3627
1999	0.0012733446519524619	9	7068
2000	0.0018239299610894942	15	8224
2001	0.0015843295405444332	11	6943
2002	0.0024928092042186003	13	5215
2003	0.003612114476243401	26	7198
2004	0.0031427716252618977	21	6682
2005	0.002922077922077922	18	6160
2006	0.0037463976945244955	13	3470
2007	0.0023820867079561697	5	2099
2008	0.0032339202299676607	36	11132
2009	0.00399284862932062	67	16780
2010	0.004552549427679501	70	15376
2011	0.0033360566448801744	49	14688
2012	0.003715021870693271	62	16689
2013	0.003854768974318904	74	19197
