year	portion	word_count	total_count
1945	0	0	276
1946	0.0033025099075297227	5	1514
1947	0.006042296072507553	10	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.000721240533717995	2	2773
1951	0.0010657193605683837	3	2815
1952	0.00034317089910775565	1	2914
1953	0.0006594131223211342	2	3033
1954	0.00184218606079214	6	3257
1955	0.001557632398753894	6	3852
1956	0.0005212405525149857	2	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0.0002621231979030144	1	3815
1960	0.0010596026490066225	4	3775
1961	0.0009064128710627691	4	4413
1962	0.0014398848092152627	6	4167
1963	0.0008727907484180668	4	4583
1964	0.001001001001001001	5	4995
1965	0.0016775396085740913	9	5365
1966	0.001633393829401089	9	5510
1967	0.001064207165661582	6	5638
1968	0.0010030090270812437	6	5982
1969	0.0005177770107007249	3	5794
1970	0.0006726080376660501	4	5947
1971	0.00019968051118210862	1	5008
1972	0.0016178611875101116	10	6181
1973	0.0013513513513513514	8	5920
1974	0.001334604385128694	7	5245
1975	0.0016112789526686808	8	4965
1976	0.001167088115152694	6	5141
1977	0.0012965363956288201	7	5399
1978	0.0016277807921866521	9	5529
1979	0.002462587611290017	13	5279
1980	0.0012915129151291514	7	5420
1981	0.0020641771439294425	11	5329
1982	0.0013160368490317729	7	5319
1983	0.0011352885525070956	6	5285
1984	0.0018782870022539444	10	5324
1985	0.0015748031496062992	9	5715
1986	0.0015426147319706903	8	5186
1987	0.0016456390565002743	9	5469
1988	0.003086980207009261	17	5507
1989	0.002789400278940028	16	5736
1990	0.002807017543859649	16	5700
1991	0.003395009336275675	20	5891
1992	0.002843760455001673	17	5978
1993	0.0028528276556469205	17	5959
1994	0.0026538397744236193	16	6029
1995	0.003424124513618677	22	6425
1996	0.0039352202209777505	26	6607
1997	0.0031487312465271347	17	5399
1998	0.0035842293906810036	13	3627
1999	0.003961516694963215	28	7068
2000	0.0023103112840466926	19	8224
2001	0.002880599164626242	20	6943
2002	0.0036433365292425695	19	5215
2003	0.0037510419560989163	27	7198
2004	0.0028434600419036215	19	6682
2005	0.0035714285714285713	22	6160
2006	0.003170028818443804	11	3470
2007	0.005717008099094807	12	2099
2008	0.0017966223499820337	20	11132
2009	0.0011918951132300357	20	16780
2010	0.0027965660770031217	43	15376
2011	0.002110566448801743	31	14688
2012	0.00275630654922404	46	16689
2013	0.001927384487159452	37	19197
