year	portion	word_count	total_count
1945	0	0	276
1946	0.0019815059445178335	3	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.00144248106743599	4	2773
1951	0	0	2815
1952	0.0034317089910775567	10	2914
1953	0.0013188262446422684	4	3033
1954	0.0015351550506601166	5	3257
1955	0.0018172377985462098	7	3852
1956	0.0005212405525149857	2	3837
1957	0.0018233915082052619	7	3839
1958	0.0018721583311045735	7	3739
1959	0.0015727391874180866	6	3815
1960	0.002913907284768212	11	3775
1961	0.0031724450487196918	14	4413
1962	0.005039596832253419	21	4167
1963	0.0037093606807767836	17	4583
1964	0.0028028028028028026	14	4995
1965	0.0029822926374650513	16	5365
1966	0.004718693284936479	26	5510
1967	0.004256828662646328	24	5638
1968	0.003510531594784353	21	5982
1969	0.007076285812909907	41	5794
1970	0.004371952244829325	26	5947
1971	0.003194888178913738	16	5008
1972	0.0035592946125222458	22	6181
1973	0.005405405405405406	32	5920
1974	0.004957102001906578	26	5245
1975	0.004632426988922457	23	4965
1976	0.0031122349737405172	16	5141
1977	0.005371365067605112	29	5399
1978	0.004702477844094773	26	5529
1979	0.00530403485508619	28	5279
1980	0.0057195571955719554	31	5420
1981	0.00562957402889848	30	5329
1982	0.0048881368678322995	26	5319
1983	0.007379375591296121	39	5285
1984	0.01314800901577761	70	5324
1985	0.015748031496062992	90	5715
1986	0.020053991515618975	104	5186
1987	0.019381971109892118	106	5469
1988	0.02324314508806973	128	5507
1989	0.017608089260808927	101	5736
1990	0.020350877192982456	116	5700
1991	0.021558309285350536	127	5891
1992	0.02074272331883573	124	5978
1993	0.021312300721597583	127	5959
1994	0.02388455796981257	144	6029
1995	0.01867704280155642	120	6425
1996	0.01770849099439988	117	6607
1997	0.019448045934432303	105	5399
1998	0.01764543700027571	64	3627
1999	0.020656479909451048	146	7068
2000	0.027237354085603113	224	8224
2001	0.024773152815785682	172	6943
2002	0.01860019175455417	97	5215
2003	0.018338427340928037	132	7198
2004	0.016162825501346904	108	6682
2005	0.014935064935064935	92	6160
2006	0.0077809798270893375	27	3470
2007	0.006669842782277275	14	2099
2008	0.004311893639956881	48	11132
2009	0.007866507747318237	132	16780
2010	0.0069588969823100935	107	15376
2011	0.008510348583877995	125	14688
2012	0.008628437893223082	144	16689
2013	0.006771891441371048	130	19197
