year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.0012415750266051792	7	5638
1968	0.0005015045135406219	3	5982
1969	0.0006903693476009665	4	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0.00018942981625307822	1	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0.0016904583020285499	9	5324
1985	0.00017497812773403323	1	5715
1986	0.0011569610489780178	6	5186
1987	0.00018284878405558602	1	5469
1988	0.0005447612130016343	3	5507
1989	0.0008716875871687587	5	5736
1990	0.0007017543859649122	4	5700
1991	0.0010185028008827025	6	5891
1992	0.0006691201070592171	4	5978
1993	0.0013425071320691392	8	5959
1994	0.0014927848731132857	9	6029
1995	0.0015564202334630351	10	6425
1996	0.0013621916149538368	9	6607
1997	0.0031487312465271347	17	5399
1998	0.0013785497656465398	5	3627
1999	0.0028296547821165816	20	7068
2000	0.0023103112840466926	19	8224
2001	0.002304479331700994	16	6943
2002	0.0024928092042186003	13	5215
2003	0.0025006946373992774	18	7198
2004	0.0020951810835079317	14	6682
2005	0.0021103896103896102	13	6160
2006	0.004610951008645533	16	3470
2007	0.009051929490233444	19	2099
2008	0.003503413582464966	39	11132
2009	0.003396901072705602	57	16780
2010	0.0033818938605619147	52	15376
2011	0.0051742919389978215	76	14688
2012	0.004014620408652406	67	16689
2013	0.00411522633744856	79	19197
