year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0	0	5324
1985	0	0	5715
1986	0	0	5186
1987	0	0	5469
1988	0	0	5507
1989	0	0	5736
1990	0	0	5700
1991	0	0	5891
1992	0	0	5978
1993	0	0	5959
1994	0	0	6029
1995	0.0014007782101167316	9	6425
1996	0.007719085818071742	51	6607
1997	0.010001852194850898	54	5399
1998	0.005514199062586159	20	3627
1999	0.006932654216185626	49	7068
2000	0.00936284046692607	77	8224
2001	0.00892985741034135	62	6943
2002	0.011313518696069032	59	5215
2003	0.018060572381217006	130	7198
2004	0.0074827895839568994	50	6682
2005	0.00762987012987013	47	6160
2006	0.009510086455331412	33	3470
2007	0.006193425440686041	13	2099
2008	0.006647502694933525	74	11132
2009	0.008402860548271752	141	16780
2010	0.0076742976066597295	118	15376
2011	0.007421023965141612	109	14688
2012	0.007430043741386542	124	16689
2013	0.006563525550867323	126	19197
