year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0.0009891196834817012	3	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0.0007814535035165407	3	3839
1958	0.0005349023803155924	2	3739
1959	0.0002621231979030144	1	3815
1960	0.0010596026490066225	4	3775
1961	0.0006798096532970768	3	4413
1962	0.0011999040076793857	5	4167
1963	0.0006545930613135501	3	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.000544464609800363	3	5510
1967	0	0	5638
1968	0.001170177198261451	7	5982
1969	0.0006903693476009665	4	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.0005067567567567568	3	5920
1974	0.0009532888465204957	5	5245
1975	0.0008056394763343404	4	4965
1976	0.000583544057576347	3	5141
1977	0.0007408779403593258	4	5399
1978	0.00018086453246518358	1	5529
1979	0.0005682894487592347	3	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0.00037601052829479227	2	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0.0007713073659853452	4	5186
1987	0.00036569756811117204	2	5469
1988	0.0005447612130016343	3	5507
1989	0.0010460251046025104	6	5736
1990	0.0005263157894736842	3	5700
1991	0	0	5891
1992	0.0005018400802944129	3	5978
1993	0.0011746937405604967	7	5959
1994	0.0006634599436059048	4	6029
1995	0.0001556420233463035	1	6425
1996	0.0007567731194187983	5	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.0001414827391058291	1	7068
2000	0.00048638132295719845	4	8224
2001	0.0008641797493878727	6	6943
2002	0.0003835091083413231	2	5215
2003	0	0	7198
2004	0.000299311583358276	2	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0.00035932446999640676	4	11132
2009	0.0002979737783075089	5	16780
2010	0.00013007284079084288	2	15376
2011	0.00034041394335511985	5	14688
2012	0.0004793576607346156	8	16689
2013	0.0003125488357555868	6	19197
