year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0.0006140620202640467	2	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0005591798695246971	3	5365
1966	0.00018148820326678765	1	5510
1967	0.001064207165661582	6	5638
1968	0.00016716817118020728	1	5982
1969	0.0012081463583016915	7	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0.00032357223750202233	2	6181
1973	0.00033783783783783786	2	5920
1974	0.0007626310772163965	4	5245
1975	0.0006042296072507553	3	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00036172906493036716	2	5529
1979	0.00037885963250615644	2	5279
1980	0.00036900369003690036	2	5420
1981	0	0	5329
1982	0.00037601052829479227	2	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.0007313951362223441	4	5469
1988	0.0003631741420010895	2	5507
1989	0.0012203626220362621	7	5736
1990	0.0007017543859649122	4	5700
1991	0.0006790018672551349	4	5891
1992	0.0008364001338240214	5	5978
1993	0.0001678133915086424	1	5959
1994	0.0004975949577044286	3	6029
1995	0.0004669260700389105	3	6425
1996	0.0004540638716512789	3	6607
1997	0.0009260974254491572	5	5399
1998	0.0008271298593879239	3	3627
1999	0.0009903791737408036	7	7068
2000	0.0008511673151750973	7	8224
2001	0.0005761198329252485	4	6943
2002	0	0	5215
2003	0.0004167824395665463	3	7198
2004	0.0013469021251122418	9	6682
2005	0.0042207792207792205	26	6160
2006	0.0023054755043227667	8	3470
2007	0.0009528346831824678	2	2099
2008	0.0022457779374775422	25	11132
2009	0.0013706793802145411	23	16780
2010	0.0027315296566077004	42	15376
2011	0.0014297385620915032	21	14688
2012	0.003415423332734136	57	16689
2013	0.0012501953430223472	24	19197
