year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0010698047606311847	4	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0006006006006006006	3	4995
1965	0.0003727865796831314	2	5365
1966	0.0007259528130671506	4	5510
1967	0.000354735721887194	2	5638
1968	0.0015045135406218655	9	5982
1969	0.0015533310321021747	9	5794
1970	0.0018496721035816377	11	5947
1971	0.0033945686900958465	17	5008
1972	0.005177155800032357	32	6181
1973	0.00472972972972973	28	5920
1974	0.004003813155386082	21	5245
1975	0.005639476334340383	28	4965
1976	0.007780587434351294	40	5141
1977	0.004630487127245786	25	5399
1978	0.006149394103816242	34	5529
1979	0.0077666224663762076	41	5279
1980	0.006088560885608856	33	5420
1981	0.006192531431788328	33	5329
1982	0.006204173716864072	33	5319
1983	0.007757805108798486	41	5285
1984	0.006198347107438017	33	5324
1985	0.009448818897637795	54	5715
1986	0.010219822599305824	53	5186
1987	0.006399707441945511	35	5469
1988	0.010168875976030507	56	5507
1989	0.005578800557880056	32	5736
1990	0.007894736842105263	45	5700
1991	0.007469020539806484	44	5891
1992	0.00853128136500502	51	5978
1993	0.00839066957543212	50	5959
1994	0.008790844252778238	53	6029
1995	0.007470817120622568	48	6425
1996	0.004691993340396549	31	6607
1997	0.007223559918503426	39	5399
1998	0.006892748828232699	25	3627
1999	0.004527447651386531	32	7068
2000	0.00899805447470817	74	8224
2001	0.0061932882039464204	43	6943
2002	0.005369127516778523	28	5215
2003	0.0056960266740761325	41	7198
2004	0.005836575875486381	39	6682
2005	0.005194805194805195	32	6160
2006	0.002881844380403458	10	3470
2007	0.0033349213911386373	7	2099
2008	0.003413582464965864	38	11132
2009	0.006555423122765197	110	16780
2010	0.0053329864724245574	82	15376
2011	0.006740196078431373	99	14688
2012	0.006591167835100964	110	16689
2013	0.006146793769859874	118	19197
