year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0	0	5285
1984	0	0	5324
1985	0	0	5715
1986	0	0	5186
1987	0	0	5469
1988	0	0	5507
1989	0	0	5736
1990	0	0	5700
1991	0	0	5891
1992	0	0	5978
1993	0.0008390669575432119	5	5959
1994	0.008127384309172333	49	6029
1995	0.02848249027237354	183	6425
1996	0.04041168457696383	267	6607
1997	0.056491942952398594	305	5399
1998	0.06644609870416322	241	3627
1999	0.09465195246179967	669	7068
2000	0.13837548638132297	1138	8224
2001	0.13826875990205964	960	6943
2002	0.11332694151486097	591	5215
2003	0.08391219783273131	604	7198
2004	0.06734510625561209	450	6682
2005	0.06655844155844155	410	6160
2006	0.08011527377521614	278	3470
2007	0.07956169604573607	167	2099
2008	0.06243262666187567	695	11132
2009	0.08194278903456496	1375	16780
2010	0.08565296566077003	1317	15376
2011	0.08762254901960784	1287	14688
2012	0.07921385343639523	1322	16689
2013	0.07693910506850028	1477	19197
