year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.002486678507992895	7	2815
1952	0.0017158544955387784	5	2914
1953	0.0006594131223211342	2	3033
1954	0.0006140620202640467	2	3257
1955	0.004153686396677051	16	3852
1956	0.005733646077664843	22	3837
1957	0.0070330815316488665	27	3839
1958	0.01684942497994116	63	3739
1959	0.01834862385321101	70	3815
1960	0.011920529801324504	45	3775
1961	0.011556764106050306	51	4413
1962	0.008159347252219822	34	4167
1963	0.008727907484180668	40	4583
1964	0.005005005005005005	25	4995
1965	0.008946877912395153	48	5365
1966	0.0070780399274047185	39	5510
1967	0.01010996807378503	57	5638
1968	0.010030090270812437	60	5982
1969	0.011045909561615464	64	5794
1970	0.011434336640322852	68	5947
1971	0.007987220447284345	40	5008
1972	0.0056625141562853904	35	6181
1973	0.00472972972972973	28	5920
1974	0.006863679694947569	36	5245
1975	0.005639476334340383	28	4965
1976	0.007002528690916164	36	5141
1977	0.004074828671976292	22	5399
1978	0.004159884246699223	23	5529
1979	0.003788596325061565	20	5279
1980	0.003874538745387454	21	5420
1981	0.005066616626008632	27	5329
1982	0.003196089490505734	17	5319
1983	0.003216650898770104	17	5285
1984	0.0033809166040570998	18	5324
1985	0.004374453193350831	25	5715
1986	0.002699575780948708	14	5186
1987	0.004754068385445237	26	5469
1988	0.00381332849101144	21	5507
1989	0.00697350069735007	40	5736
1990	0.00543859649122807	31	5700
1991	0.0035647598030894585	21	5891
1992	0.0010036801605888257	6	5978
1993	0.002517200872629636	15	5959
1994	0.005473544534748714	33	6029
1995	0.0023346303501945525	15	6425
1996	0.002270319358256395	15	6607
1997	0.003704389701796629	20	5399
1998	0.0030328094844223876	11	3627
1999	0.003254102999434069	23	7068
2000	0.006079766536964981	50	8224
2001	0.004464928705170675	31	6943
2002	0.005560882070949185	29	5215
2003	0.003612114476243401	26	7198
2004	0.004788985333732416	32	6682
2005	0.002435064935064935	15	6160
2006	0.004322766570605188	15	3470
2007	0.005240590757503573	11	2099
2008	0.0044915558749550845	50	11132
2009	0.005542312276519666	93	16780
2010	0.004422476586888657	68	15376
2011	0.0055147058823529415	81	14688
2012	0.003355503625142309	56	16689
2013	0.004063134864822629	78	19197
