year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0	0	5285
1984	0	0	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0.00018284878405558602	1	5469
1988	0.00018158707100054475	1	5507
1989	0	0	5736
1990	0.00017543859649122806	1	5700
1991	0	0	5891
1992	0.00016728002676480428	1	5978
1993	0.0003356267830172848	2	5959
1994	0.0011610549013103333	7	6029
1995	0.000311284046692607	2	6425
1996	0.0004540638716512789	3	6607
1997	0.0005556584552694943	3	5399
1998	0.0013785497656465398	5	3627
1999	0.0002829654782116582	2	7068
2000	0.00048638132295719845	4	8224
2001	0.00028805991646262423	2	6943
2002	0	0	5215
2003	0.0005557099194220616	4	7198
2004	0.000598623166716552	4	6682
2005	0.00016233766233766234	1	6160
2006	0.0005763688760806917	2	3470
2007	0.0014292520247737017	3	2099
2008	0.00017966223499820338	2	11132
2009	0.00011918951132300358	2	16780
2010	0.00006503642039542144	1	15376
2011	0.0002042483660130719	3	14688
2012	0.0003595182455509617	6	16689
2013	0.00020836589050372454	4	19197
