year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0.0016485328058028356	5	3033
1954	0	0	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0.001041938004688721	4	3839
1958	0.0010698047606311847	4	3739
1959	0.003145478374836173	12	3815
1960	0.0015894039735099338	6	3775
1961	0.0011330160888284614	5	4413
1962	0.0014398848092152627	6	4167
1963	0.002181976871045167	10	4583
1964	0.0014014014014014013	7	4995
1965	0.0016775396085740913	9	5365
1966	0.0018148820326678765	10	5510
1967	0.0015963107484923732	9	5638
1968	0.0015045135406218655	9	5982
1969	0.002761477390403866	16	5794
1970	0.0030267361694972256	18	5947
1971	0.003194888178913738	16	5008
1972	0.0035592946125222458	22	6181
1973	0.006587837837837838	39	5920
1974	0.004194470924690181	22	5245
1975	0.007049345417925478	35	4965
1976	0.00914219023536277	47	5141
1977	0.010001852194850898	54	5399
1978	0.008138903960933261	45	5529
1979	0.008903201363894678	47	5279
1980	0.00922509225092251	50	5420
1981	0.01125914805779696	60	5329
1982	0.006392178981011468	34	5319
1983	0.01173131504257332	62	5285
1984	0.00845229151014275	45	5324
1985	0.009623797025371828	55	5715
1986	0.010026995757809487	52	5186
1987	0.011153775827390747	61	5469
1988	0.009442527692028328	52	5507
1989	0.011331938633193863	65	5736
1990	0.01087719298245614	62	5700
1991	0.011033780342895943	65	5891
1992	0.009200401472064235	55	5978
1993	0.009565363315992616	57	5959
1994	0.012108143970807762	73	6029
1995	0.00933852140077821	60	6425
1996	0.0068109580747691845	45	6607
1997	0.008520096314132248	46	5399
1998	0.006617038875103391	24	3627
1999	0.006366723259762309	45	7068
2000	0.008146887159533074	67	8224
2001	0.008353737577416103	58	6943
2002	0.009395973154362415	49	5215
2003	0.007085301472631286	51	7198
2004	0.008081412750673452	54	6682
2005	0.008441558441558441	52	6160
2006	0.008357348703170028	29	3470
2007	0.011910433539780848	25	2099
2008	0.005569529284944304	62	11132
2009	0.007687723480333731	129	16780
2010	0.008129552549427679	125	15376
2011	0.009531590413943355	140	14688
2012	0.008208999940080293	137	16689
2013	0.007136531749752565	137	19197
