year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0.0007577192650123129	4	5279
1980	0.00036900369003690036	2	5420
1981	0.0003753049352598987	2	5329
1982	0.0005640157924421884	3	5319
1983	0.0007568590350047304	4	5285
1984	0.0009391435011269722	5	5324
1985	0.0013998250218722659	8	5715
1986	0.0021210952564596993	11	5186
1987	0.0021941854086670325	12	5469
1988	0.0010895224260032686	6	5507
1989	0.0010460251046025104	6	5736
1990	0.0008771929824561404	5	5700
1991	0.0008487523340689187	5	5891
1992	0.0021746403479424555	13	5978
1993	0.0011746937405604967	7	5959
1994	0.0009951899154088573	6	6029
1995	0.0010894941634241246	7	6425
1996	0.0016649008627213561	11	6607
1997	0.0007408779403593258	4	5399
1998	0	0	3627
1999	0.0014148273910582908	10	7068
2000	0.0017023346303501946	14	8224
2001	0.00273656920639493	19	6943
2002	0.0015340364333652923	8	5215
2003	0.004306751875520978	31	7198
2004	0.0025441484585453458	17	6682
2005	0.0011363636363636363	7	6160
2006	0.0023054755043227667	8	3470
2007	0.0014292520247737017	3	2099
2008	0.001167804527488322	13	11132
2009	0.0017282479141835518	29	16780
2010	0.0018860561914672217	29	15376
2011	0.001906318082788671	28	14688
2012	0.0019174306429384624	32	16689
2013	0.001875293014533521	36	19197
