year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.0005015045135406219	3	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.0007987220447284345	4	5008
1972	0.0004853583562530335	3	6181
1973	0.00033783783783783786	2	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0.00038902937171756465	2	5141
1977	0.0012965363956288201	7	5399
1978	0	0	5529
1979	0.0009471490812653912	5	5279
1980	0.0005535055350553505	3	5420
1981	0.001688872208669544	9	5329
1982	0.0011280315848843769	6	5319
1983	0.000946073793755913	5	5285
1984	0.0003756574004507889	2	5324
1985	0.0013998250218722659	8	5715
1986	0.0007713073659853452	4	5186
1987	0.0012799414883891023	7	5469
1988	0.0009079353550027238	5	5507
1989	0.0017433751743375174	10	5736
1990	0.0015789473684210526	9	5700
1991	0.001867255134951621	11	5891
1992	0.00117096018735363	7	5978
1993	0.0010068803490518544	6	5959
1994	0.0013269198872118096	8	6029
1995	0.0015564202334630351	10	6425
1996	0.0010594823671863176	7	6607
1997	0.0009260974254491572	5	5399
1998	0.0005514199062586159	2	3627
1999	0.0014148273910582908	10	7068
2000	0.0006079766536964981	5	8224
2001	0.0015843295405444332	11	6943
2002	0.0017257909875359539	9	5215
2003	0.0011114198388441233	8	7198
2004	0.0008979347500748278	6	6682
2005	0.000487012987012987	3	6160
2006	0.0008645533141210375	3	3470
2007	0.0019056693663649356	4	2099
2008	0.0004491555874955084	5	11132
2009	0.0005363528009535161	9	16780
2010	0.0005202913631633715	8	15376
2011	0.0006127450980392157	9	14688
2012	0.0008987956138774043	15	16689
2013	0.000781372089388967	15	19197
