year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0.0005676442762535478	3	5285
1984	0.00018782870022539445	1	5324
1985	0.0006999125109361329	4	5715
1986	0.0005784805244890089	3	5186
1987	0.00018284878405558602	1	5469
1988	0	0	5507
1989	0.0003486750348675035	2	5736
1990	0	0	5700
1991	0.00033950093362756747	2	5891
1992	0.0010036801605888257	6	5978
1993	0.0005034401745259272	3	5959
1994	0.0004975949577044286	3	6029
1995	0.0007782101167315176	5	6425
1996	0.0012108369910700772	8	6607
1997	0.0007408779403593258	4	5399
1998	0.0019299696719051558	7	3627
1999	0.0007074136955291454	5	7068
2000	0.0012159533073929961	10	8224
2001	0.001296269624081809	9	6943
2002	0.00019175455417066154	1	5215
2003	0.0013892747985551543	10	7198
2004	0.0004489673750374139	3	6682
2005	0.0011363636363636363	7	6160
2006	0.0020172910662824206	7	3470
2007	0.0004764173415912339	1	2099
2008	0.0008983111749910168	10	11132
2009	0.00011918951132300358	2	16780
2010	0.0005853277835587929	9	15376
2011	0.0005446623093681918	8	14688
2012	0.0006591167835100965	11	16689
2013	0.0004167317810074491	8	19197
