year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.0003629764065335753	2	5510
1967	0.000709471443774388	4	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.0005044560282495376	3	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.0008445945945945946	5	5920
1974	0.00019065776930409913	1	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0.0005425935973955507	3	5529
1979	0	0	5279
1980	0.0007380073800738007	4	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0.00034995625546806647	2	5715
1986	0.0007713073659853452	4	5186
1987	0.0007313951362223441	4	5469
1988	0.0016342836390049029	9	5507
1989	0.000697350069735007	4	5736
1990	0.0008771929824561404	5	5700
1991	0.001188253267696486	7	5891
1992	0.0018400802944128472	11	5978
1993	0.0013425071320691392	8	5959
1994	0.0023221098026206667	14	6029
1995	0.0017120622568093384	11	6425
1996	0.0031784471015589527	21	6607
1997	0.0025930727912576402	14	5399
1998	0.0016542597187758478	6	3627
1999	0.0024052065647990947	17	7068
2000	0.0024319066147859923	20	8224
2001	0.004464928705170675	31	6943
2002	0.003835091083413231	20	5215
2003	0.0027785495971103086	20	7198
2004	0.0016462137084705178	11	6682
2005	0.0021103896103896102	13	6160
2006	0.00345821325648415	12	3470
2007	0.0019056693663649356	4	2099
2008	0.0017966223499820337	20	11132
2009	0.002205005959475566	37	16780
2010	0.002991675338189386	46	15376
2011	0.002110566448801743	31	14688
2012	0.002396788303673078	40	16689
2013	0.002396207740792832	46	19197
