year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.0033025099075297227	5	1514
1947	0.0012084592145015106	2	1655
1948	0.00248015873015873	5	2016
1949	0.0003996802557953637	1	2502
1950	0.002163721601153985	6	2773
1951	0.002486678507992895	7	2815
1952	0.0006863417982155113	2	2914
1953	0.002637652489284537	8	3033
1954	0.0012281240405280934	4	3257
1955	0.0010384215991692627	4	3852
1956	0.0020849622100599426	8	3837
1957	0.0015629070070330815	6	3839
1958	0.0021396095212623694	8	3739
1959	0.0010484927916120576	4	3815
1960	0.0013245033112582781	5	3775
1961	0.0009064128710627691	4	4413
1962	0.00335973122150228	14	4167
1963	0.0037093606807767836	17	4583
1964	0.007807807807807808	39	4995
1965	0.00391425908667288	21	5365
1966	0.006170598911070781	34	5510
1967	0.010642071656615822	60	5638
1968	0.010698762955533266	64	5982
1969	0.00638591646530894	37	5794
1970	0.007230536404910039	43	5947
1971	0.0049920127795527154	25	5008
1972	0.0056625141562853904	35	6181
1973	0.004391891891891892	26	5920
1974	0.006863679694947569	36	5245
1975	0.006646525679758308	33	4965
1976	0.005640925889904688	29	5141
1977	0.0051861455825152804	28	5399
1978	0.004702477844094773	26	5529
1979	0.007008903201363895	37	5279
1980	0.007195571955719557	39	5420
1981	0.010320885719647213	55	5329
1982	0.008648242150780222	46	5319
1983	0.010028382213812678	53	5285
1984	0.007137490608564989	38	5324
1985	0.0059492563429571306	34	5715
1986	0.006170458927882761	32	5186
1987	0.006399707441945511	35	5469
1988	0.007263482840021791	40	5507
1989	0.005753138075313808	33	5736
1990	0.007192982456140351	41	5700
1991	0.006111016805296215	36	5891
1992	0.008865841418534626	53	5978
1993	0.007215975834871623	43	5959
1994	0.007132194393763476	43	6029
1995	0.007003891050583658	45	6425
1996	0.005600121083699107	37	6607
1997	0.007408779403593258	40	5399
1998	0.004962779156327543	18	3627
1999	0.006791171477079796	48	7068
2000	0.009119649805447471	75	8224
2001	0.0061932882039464204	43	6943
2002	0.005944391179290508	31	5215
2003	0.007779938871908864	56	7198
2004	0.008081412750673452	54	6682
2005	0.00698051948051948	43	6160
2006	0.004610951008645533	16	3470
2007	0.006193425440686041	13	2099
2008	0.005569529284944304	62	11132
2009	0.0068533969010727055	115	16780
2010	0.006048387096774193	93	15376
2011	0.0055827886710239655	82	14688
2012	0.0060518904667745226	101	16689
2013	0.005677970516226494	109	19197
