year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0005676442762535478	3	5285
1984	0	0	5324
1985	0.0005249343832020997	3	5715
1986	0.0003856536829926726	2	5186
1987	0.0005485463521667581	3	5469
1988	0.0005447612130016343	3	5507
1989	0.00017433751743375174	1	5736
1990	0.0003508771929824561	2	5700
1991	0	0	5891
1992	0.0005018400802944129	3	5978
1993	0.0015103205235777815	9	5959
1994	0.000829324929507381	5	6029
1995	0.0001556420233463035	1	6425
1996	0.0018162554866051157	12	6607
1997	0.004445267642155954	24	5399
1998	0.0008271298593879239	3	3627
1999	0.0024052065647990947	17	7068
2000	0.0070525291828793775	58	8224
2001	0.008353737577416103	58	6943
2002	0.0030680728667305847	16	5215
2003	0.002639622117254793	19	7198
2004	0.00299311583358276	20	6682
2005	0.0016233766233766235	10	6160
2006	0.0005763688760806917	2	3470
2007	0.0023820867079561697	5	2099
2008	0.0007186489399928135	8	11132
2009	0.0007151370679380214	12	16780
2010	0.0009105098855359001	14	15376
2011	0.0004084967320261438	6	14688
2012	0.0007789561986937504	13	16689
2013	0.0008855550346408293	17	19197
