year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.001321003963011889	2	1514
1947	0.0006042296072507553	1	1655
1948	0.001984126984126984	4	2016
1949	0.001199040767386091	3	2502
1950	0.0018031013342949874	5	2773
1951	0.0021314387211367673	6	2815
1952	0.0013726835964310226	4	2914
1953	0.0006594131223211342	2	3033
1954	0	0	3257
1955	0.0010384215991692627	4	3852
1956	0	0	3837
1957	0.0015629070070330815	6	3839
1958	0.0021396095212623694	8	3739
1959	0	0	3815
1960	0.002119205298013245	8	3775
1961	0.0015862225243598459	7	4413
1962	0.0021598272138228943	9	4167
1963	0.0032729653065677504	15	4583
1964	0.0014014014014014013	7	4995
1965	0.002423112767940354	13	5365
1966	0.003992740471869328	22	5510
1967	0.0026605179141539555	15	5638
1968	0.003009027081243731	18	5982
1969	0.0037970314118053157	22	5794
1970	0.005885320329577938	35	5947
1971	0.004792332268370607	24	5008
1972	0.005015369681281346	31	6181
1973	0.0035472972972972975	21	5920
1974	0.0038131553860819827	20	5245
1975	0.0032225579053373615	16	4965
1976	0.003890293717175647	20	5141
1977	0.004074828671976292	22	5399
1978	0.004702477844094773	26	5529
1979	0.003978026141314643	21	5279
1980	0.005350553505535056	29	5420
1981	0.008632013510977669	46	5329
1982	0.003196089490505734	17	5319
1983	0.0043519394512772	23	5285
1984	0.009579263711495116	51	5324
1985	0.00699912510936133	40	5715
1986	0.0063632857693790975	33	5186
1987	0.007679648930334613	42	5469
1988	0.006900308698020701	38	5507
1989	0.006624825662482566	38	5736
1990	0.009122807017543859	52	5700
1991	0.010354778475640808	61	5891
1992	0.01371696219471395	82	5978
1993	0.01342507132069139	80	5959
1994	0.010947089069497429	66	6029
1995	0.008715953307392997	56	6425
1996	0.005902830331466626	39	6607
1997	0.010001852194850898	54	5399
1998	0.007444168734491315	27	3627
1999	0.006508205998868138	46	7068
2000	0.01228112840466926	101	8224
2001	0.01094627682557972	76	6943
2002	0.010930009587727708	57	5215
2003	0.010141706029452626	73	7198
2004	0.008530380125710864	57	6682
2005	0.007792207792207792	48	6160
2006	0.007204610951008645	25	3470
2007	0.011434016198189614	24	2099
2008	0.004581386992454186	51	11132
2009	0.0066746126340882	112	16780
2010	0.0076742976066597295	118	15376
2011	0.010280501089324618	151	14688
2012	0.009587153214692312	160	16689
2013	0.010314111579934365	198	19197
