year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0.0012084592145015106	2	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.002163721601153985	6	2773
1951	0.002486678507992895	7	2815
1952	0.001029512697323267	3	2914
1953	0.0009891196834817012	3	3033
1954	0.00092109303039607	3	3257
1955	0.001557632398753894	6	3852
1956	0.0013031013812874641	5	3837
1957	0.0013024225058609013	5	3839
1958	0.0016047071409467772	6	3739
1959	0.0015727391874180866	6	3815
1960	0.0026490066225165563	10	3775
1961	0.003399048266485384	15	4413
1962	0.0028797696184305254	12	4167
1963	0.0026183722452542005	12	4583
1964	0.004604604604604604	23	4995
1965	0.004659832246039142	25	5365
1966	0.004355716878402904	24	5510
1967	0.00656261085491309	37	5638
1968	0.0031761952524239387	19	5982
1969	0.004659993096306524	27	5794
1970	0.009080208508491677	54	5947
1971	0.00718849840255591	36	5008
1972	0.0071185892250444915	44	6181
1973	0.008952702702702703	53	5920
1974	0.011439466158245948	60	5245
1975	0.00866062437059416	43	4965
1976	0.009336704921221552	48	5141
1977	0.008149657343952585	44	5399
1978	0.008138903960933261	45	5529
1979	0.009092631180147755	48	5279
1980	0.009409594095940959	51	5420
1981	0.01125914805779696	60	5329
1982	0.009964278999811995	53	5319
1983	0.01097445600756859	58	5285
1984	0.010330578512396695	55	5324
1985	0.012773403324584426	73	5715
1986	0.012533744697261859	65	5186
1987	0.014993600292558055	82	5469
1988	0.016161249319048485	89	5507
1989	0.01813110181311018	104	5736
1990	0.014385964912280702	82	5700
1991	0.014259039212357834	84	5891
1992	0.009702241552358649	58	5978
1993	0.014431951669743245	86	5959
1994	0.011278819041300382	68	6029
1995	0.010272373540856031	66	6425
1996	0.00877856818525806	58	6607
1997	0.012224486015928876	66	5399
1998	0.008822718500137855	32	3627
1999	0.009903791737408036	70	7068
2000	0.011308365758754864	93	8224
2001	0.012674636324355466	88	6943
2002	0.012080536912751677	63	5215
2003	0.01430953042511809	103	7198
2004	0.011074528584256211	74	6682
2005	0.009902597402597402	61	6160
2006	0.008645533141210375	30	3470
2007	0.008099094807050978	17	2099
2008	0.004940711462450593	55	11132
2009	0.008522050059594756	143	16780
2010	0.008324661810613945	128	15376
2011	0.007421023965141612	109	14688
2012	0.008388759062855774	140	16689
2013	0.00823045267489712	158	19197
