year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0.0003629764065335753	2	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0.0006726080376660501	4	5947
1971	0.000998402555910543	5	5008
1972	0.0006471444750040447	4	6181
1973	0.00033783783783783786	2	5920
1974	0	0	5245
1975	0.0006042296072507553	3	4965
1976	0.00038902937171756465	2	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.0007577192650123129	4	5279
1980	0.0014760147601476014	8	5420
1981	0	0	5329
1982	0.001504042113179169	8	5319
1983	0.000946073793755913	5	5285
1984	0.0005634861006761833	3	5324
1985	0.00017497812773403323	1	5715
1986	0.0007713073659853452	4	5186
1987	0.0010970927043335162	6	5469
1988	0.0012711094970038134	7	5507
1989	0.001394700139470014	8	5736
1990	0.0007017543859649122	4	5700
1991	0.0015277542013240537	9	5891
1992	0.00234192037470726	14	5978
1993	0.0015103205235777815	9	5959
1994	0.0031514347321280477	19	6029
1995	0.0038910505836575876	25	6425
1996	0.0037838655970939914	25	6607
1997	0.004445267642155954	24	5399
1998	0.0044113592500689275	16	3627
1999	0.007498585172608941	53	7068
2000	0.00632295719844358	52	8224
2001	0.00748955782802823	52	6943
2002	0.005944391179290508	31	5215
2003	0.00819672131147541	59	7198
2004	0.006584854833882071	44	6682
2005	0.007792207792207792	48	6160
2006	0.008357348703170028	29	3470
2007	0.010481181515007145	22	2099
2008	0.0044915558749550845	50	11132
2009	0.0057210965435041715	96	16780
2010	0.0057882414151925075	89	15376
2011	0.00755718954248366	111	14688
2012	0.0059320510515908685	99	16689
2013	0.005209147262593114	100	19197
