year	portion	word_count	total_count
1945	0	0	276
1946	0.002642007926023778	4	1514
1947	0.002416918429003021	4	1655
1948	0.001488095238095238	3	2016
1949	0.0003996802557953637	1	2502
1950	0.000721240533717995	2	2773
1951	0.0007104795737122557	2	2815
1952	0.0006863417982155113	2	2914
1953	0.0009891196834817012	3	3033
1954	0.0006140620202640467	2	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0.0005209690023443605	2	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0.00045320643553138455	2	4413
1962	0.0009599232061435085	4	4167
1963	0.0015273838097316168	7	4583
1964	0	0	4995
1965	0.0007455731593662628	4	5365
1966	0.00018148820326678765	1	5510
1967	0.0008868393047179851	5	5638
1968	0.0005015045135406219	3	5982
1969	0.00034518467380048324	2	5794
1970	0.0005044560282495376	3	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0.0005067567567567568	3	5920
1974	0.0005719733079122975	3	5245
1975	0.0002014098690835851	1	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0.0005425935973955507	3	5529
1979	0.0009471490812653912	5	5279
1980	0.00036900369003690036	2	5420
1981	0.00018765246762994934	1	5329
1982	0.0005640157924421884	3	5319
1983	0.000946073793755913	5	5285
1984	0	0	5324
1985	0.0006999125109361329	4	5715
1986	0.0005784805244890089	3	5186
1987	0.00018284878405558602	1	5469
1988	0.0005447612130016343	3	5507
1989	0.0003486750348675035	2	5736
1990	0.0010526315789473684	6	5700
1991	0.0010185028008827025	6	5891
1992	0.00033456005352960856	2	5978
1993	0.0015103205235777815	9	5959
1994	0.0009951899154088573	6	6029
1995	0.000933852140077821	6	6425
1996	0.0003027092477675193	2	6607
1997	0.0007408779403593258	4	5399
1998	0.0005514199062586159	2	3627
1999	0.0012733446519524619	9	7068
2000	0.0008511673151750973	7	8224
2001	0.0008641797493878727	6	6943
2002	0.00019175455417066154	1	5215
2003	0.0001389274798555154	1	7198
2004	0.000299311583358276	2	6682
2005	0.0006493506493506494	4	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0.00017966223499820338	2	11132
2009	0.0004767580452920143	8	16780
2010	0.00045525494276795007	7	15376
2011	0.0008850762527233115	13	14688
2012	0.0007789561986937504	13	16689
2013	0.0006250976715111736	12	19197
