year	portion	word_count	total_count
1945	0	0	276
1946	0.0033025099075297227	5	1514
1947	0.004833836858006042	8	1655
1948	0.005456349206349206	11	2016
1949	0.01079136690647482	27	2502
1950	0.00576992426974396	16	2773
1951	0.003552397868561279	10	2815
1952	0.004461221688400824	13	2914
1953	0.003626772172766238	11	3033
1954	0.004912496162112374	16	3257
1955	0.004153686396677051	16	3852
1956	0.0028668230388324213	11	3837
1957	0.0036467830164105238	14	3839
1958	0.003744316662209147	14	3739
1959	0.001834862385321101	7	3815
1960	0.004503311258278146	17	3775
1961	0.00498527079084523	22	4413
1962	0.005519558435325174	23	4167
1963	0.004363953742090334	20	4583
1964	0.006406406406406407	32	4995
1965	0.0033550792171481826	18	5365
1966	0.005081669691470054	28	5510
1967	0.009755232351897836	55	5638
1968	0.006519558676028084	39	5982
1969	0.010873317224715223	63	5794
1970	0.009584664536741214	57	5947
1971	0.0037939297124600637	19	5008
1972	0.00420643908752629	26	6181
1973	0.006418918918918919	38	5920
1974	0.006291706387035272	33	5245
1975	0.005639476334340383	28	4965
1976	0.00583544057576347	30	5141
1977	0.006112243007964438	33	5399
1978	0.00705371676614216	39	5529
1979	0.008145482098882365	43	5279
1980	0.007011070110701107	38	5420
1981	0.0054419215612685305	29	5329
1982	0.0045121263395375075	24	5319
1983	0.007000946073793756	37	5285
1984	0.006198347107438017	33	5324
1985	0.006649168853893263	38	5715
1986	0.007520246818357115	39	5186
1987	0.008411044066556957	46	5469
1988	0.009442527692028328	52	5507
1989	0.005927475592747559	34	5736
1990	0.005087719298245614	29	5700
1991	0.007469020539806484	44	5891
1992	0.008029441284710606	48	5978
1993	0.009061923141466689	54	5959
1994	0.007629789351467905	46	6029
1995	0.009494163424124513	61	6425
1996	0.007265021946420463	48	6607
1997	0.009446193739581403	51	5399
1998	0.007995588640749932	29	3627
1999	0.0077815506508206	55	7068
2000	0.014105058365758755	116	8224
2001	0.013394786115512026	93	6943
2002	0.012655800575263663	66	5215
2003	0.012086690747429841	87	7198
2004	0.010176593834181383	68	6682
2005	0.00974025974025974	60	6160
2006	0.011527377521613832	40	3470
2007	0.01715102429728442	36	2099
2008	0.005749191519942508	64	11132
2009	0.009952324195470798	167	16780
2010	0.010600936524453694	163	15376
2011	0.01273148148148148	187	14688
2012	0.01396129186889568	233	16689
2013	0.013491691410116163	259	19197
