year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0018126888217522659	3	1655
1948	0.003968253968253968	8	2016
1949	0.0035971223021582736	9	2502
1950	0.009015506671474938	25	2773
1951	0.007104795737122558	20	2815
1952	0.009608785175017159	28	2914
1953	0.007253544345532476	22	3033
1954	0.010439054344488793	34	3257
1955	0.008047767393561786	31	3852
1956	0.008079228563982278	31	3837
1957	0.0072935660328210476	28	3839
1958	0.011767852366943032	44	3739
1959	0.011271297509829619	43	3815
1960	0.010860927152317882	41	3775
1961	0.011330160888284613	50	4413
1962	0.012239020878329733	51	4167
1963	0.012219070477852935	56	4583
1964	0.015615615615615615	78	4995
1965	0.017520969245107175	94	5365
1966	0.018148820326678767	100	5510
1967	0.021106775452288045	119	5638
1968	0.02357071213640923	141	5982
1969	0.033655505695547115	195	5794
1970	0.04102909029762906	244	5947
1971	0.03893769968051118	195	5008
1972	0.03365151270021032	208	6181
1973	0.0339527027027027	201	5920
1974	0.03775023832221163	198	5245
1975	0.03867069486404834	192	4965
1976	0.0418206574596382	215	5141
1977	0.038896091868864606	210	5399
1978	0.03689636462289745	204	5529
1979	0.03523394582307255	186	5279
1980	0.03874538745387454	210	5420
1981	0.03996997560517921	213	5329
1982	0.04493325813122767	239	5319
1983	0.057899716177861875	306	5285
1984	0.053906836964688204	287	5324
1985	0.051618547681539804	295	5715
1986	0.05225607404550713	271	5186
1987	0.05064911318339733	277	5469
1988	0.04575994189213728	252	5507
1989	0.05003486750348675	287	5736
1990	0.05228070175438596	298	5700
1991	0.04922763537599728	290	5891
1992	0.04968216794914687	297	5978
1993	0.04480617553280752	267	5959
1994	0.04577873610880743	276	6029
1995	0.04217898832684825	271	6425
1996	0.04525503254124413	299	6607
1997	0.047045749212817185	254	5399
1998	0.04218362282878412	153	3627
1999	0.03508771929824561	248	7068
2000	0.04328793774319066	356	8224
2001	0.04032838830476739	280	6943
2002	0.04276126558005753	223	5215
2003	0.04015004167824396	289	7198
2004	0.040556719545046395	271	6682
2005	0.03409090909090909	210	6160
2006	0.03342939481268011	116	3470
2007	0.03954263935207242	83	2099
2008	0.03512396694214876	391	11132
2009	0.048212157330154944	809	16780
2010	0.044289802289282	681	15376
2011	0.03826252723311547	562	14688
2012	0.03679070046138175	614	16689
2013	0.029692139396780746	570	19197
