year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0.000992063492063492	2	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.0013726835964310226	4	2914
1953	0.0009891196834817012	3	3033
1954	0	0	3257
1955	0.000778816199376947	3	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0	0	5794
1970	0.0006726080376660501	4	5947
1971	0.00039936102236421724	2	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0.00038131553860819826	2	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0	0	5399
1978	0.0007234581298607343	4	5529
1979	0.00018942981625307822	1	5279
1980	0.0009225092250922509	5	5420
1981	0.0009382623381497466	5	5329
1982	0.0009400263207369807	5	5319
1983	0.0003784295175023652	2	5285
1984	0.0005634861006761833	3	5324
1985	0.0013998250218722659	8	5715
1986	0.0005784805244890089	3	5186
1987	0.004754068385445237	26	5469
1988	0.002179044852006537	12	5507
1989	0.0019177126917712692	11	5736
1990	0.0005263157894736842	3	5700
1991	0.001188253267696486	7	5891
1992	0.0016728002676480427	10	5978
1993	0.0026850142641382784	16	5959
1994	0.0014927848731132857	9	6029
1995	0.0014007782101167316	9	6425
1996	0.0013621916149538368	9	6607
1997	0.0007408779403593258	4	5399
1998	0.0016542597187758478	6	3627
1999	0.0005659309564233164	4	7068
2000	0.0009727626459143969	8	8224
2001	0.0015843295405444332	11	6943
2002	0.0011505273250239693	6	5215
2003	0.0015282022784106697	11	7198
2004	0.001197246333433104	8	6682
2005	0.0030844155844155846	19	6160
2006	0.0020172910662824206	7	3470
2007	0.003811338732729871	8	2099
2008	0.001976284584980237	22	11132
2009	0.0015494636471990466	26	16780
2010	0.0022112382934443287	34	15376
2011	0.0015659041394335512	23	14688
2012	0.00137815327461202	23	16689
2013	0.0021357503776631764	41	19197
