year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0.0006798096532970768	3	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000354735721887194	2	5638
1968	0.00033433634236041456	2	5982
1969	0.00034518467380048324	2	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.0008089305937550558	5	6181
1973	0.00033783783783783786	2	5920
1974	0.0009532888465204957	5	5245
1975	0.0002014098690835851	1	4965
1976	0.00038902937171756465	2	5141
1977	0.00018521948508983145	1	5399
1978	0.00036172906493036716	2	5529
1979	0.0007577192650123129	4	5279
1980	0.0005535055350553505	3	5420
1981	0.0007506098705197974	4	5329
1982	0.0005640157924421884	3	5319
1983	0.0001892147587511826	1	5285
1984	0.0005634861006761833	3	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.0005485463521667581	3	5469
1988	0.0003631741420010895	2	5507
1989	0.0003486750348675035	2	5736
1990	0.0003508771929824561	2	5700
1991	0.00016975046681378373	1	5891
1992	0.0005018400802944129	3	5978
1993	0.0005034401745259272	3	5959
1994	0.0006634599436059048	4	6029
1995	0.000622568093385214	4	6425
1996	0.0003027092477675193	2	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.0007074136955291454	5	7068
2000	0.0009727626459143969	8	8224
2001	0.0005761198329252485	4	6943
2002	0.0003835091083413231	2	5215
2003	0.0006946373992775772	5	7198
2004	0.0008979347500748278	6	6682
2005	0.000974025974025974	6	6160
2006	0.0011527377521613833	4	3470
2007	0	0	2099
2008	0.0004491555874955084	5	11132
2009	0.00023837902264600716	4	16780
2010	0.0003251821019771072	5	15376
2011	0.0002042483660130719	3	14688
2012	0.0004793576607346156	8	16689
2013	0.0004167317810074491	8	19197
