year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.000721240533717995	2	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0.0009891196834817012	3	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.0007814535035165407	3	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0.0005298013245033113	2	3775
1961	0.0006798096532970768	3	4413
1962	0.0007199424046076314	3	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.0003629764065335753	2	5510
1967	0.000354735721887194	2	5638
1968	0.0005015045135406219	3	5982
1969	0.0006903693476009665	4	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.00018942981625307822	1	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0	0	5319
1983	0.000946073793755913	5	5285
1984	0.0005634861006761833	3	5324
1985	0.00034995625546806647	2	5715
1986	0.0001928268414963363	1	5186
1987	0.0005485463521667581	3	5469
1988	0.0003631741420010895	2	5507
1989	0	0	5736
1990	0.00017543859649122806	1	5700
1991	0.00016975046681378373	1	5891
1992	0.0008364001338240214	5	5978
1993	0.0003356267830172848	2	5959
1994	0.0009951899154088573	6	6029
1995	0.000622568093385214	4	6425
1996	0.0007567731194187983	5	6607
1997	0.0009260974254491572	5	5399
1998	0.00027570995312930797	1	3627
1999	0.0001414827391058291	1	7068
2000	0.00024319066147859923	2	8224
2001	0.0008641797493878727	6	6943
2002	0.0005752636625119846	3	5215
2003	0.0008335648791330926	6	7198
2004	0.0004489673750374139	3	6682
2005	0.001461038961038961	9	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.0004491555874955084	5	11132
2009	0.0003575685339690107	6	16780
2010	0.0003251821019771072	5	15376
2011	0.0002723311546840959	4	14688
2012	0.00041943795314278864	7	16689
2013	0.0003125488357555868	6	19197
