year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0.0006042296072507553	1	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.0007947019867549669	3	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0.0006006006006006006	3	4995
1965	0.0003727865796831314	2	5365
1966	0.000544464609800363	3	5510
1967	0.000354735721887194	2	5638
1968	0.0005015045135406219	3	5982
1969	0.00017259233690024162	1	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0.00037885963250615644	2	5279
1980	0.00036900369003690036	2	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0.0007513148009015778	4	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0	0	5469
1988	0.0012711094970038134	7	5507
1989	0.0012203626220362621	7	5736
1990	0.0007017543859649122	4	5700
1991	0.0006790018672551349	4	5891
1992	0.0016728002676480427	10	5978
1993	0.002181574089612351	13	5959
1994	0.0019903798308177146	12	6029
1995	0.0014007782101167316	9	6425
1996	0.002270319358256395	15	6607
1997	0.0016669753658084831	9	5399
1998	0.0019299696719051558	7	3627
1999	0.004244482173174873	30	7068
2000	0.0020671206225680934	17	8224
2001	0.0030246291228575545	21	6943
2002	0.0034515819750719078	18	5215
2003	0.002917477076965824	21	7198
2004	0.0028434600419036215	19	6682
2005	0.0037337662337662337	23	6160
2006	0.0037463976945244955	13	3470
2007	0.006669842782277275	14	2099
2008	0.0032339202299676607	36	11132
2009	0.0028605482717520858	48	16780
2010	0.0026014568158168575	40	15376
2011	0.0034041394335511985	50	14688
2012	0.0030559050871831746	51	16689
2013	0.0036984945564411107	71	19197
