year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0003727865796831314	2	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0003784295175023652	2	5285
1984	0	0	5324
1985	0.0006999125109361329	4	5715
1986	0.0003856536829926726	2	5186
1987	0.00018284878405558602	1	5469
1988	0.0003631741420010895	2	5507
1989	0	0	5736
1990	0.0003508771929824561	2	5700
1991	0	0	5891
1992	0.00033456005352960856	2	5978
1993	0.0005034401745259272	3	5959
1994	0.0006634599436059048	4	6029
1995	0.000311284046692607	2	6425
1996	0.0003027092477675193	2	6607
1997	0.0005556584552694943	3	5399
1998	0	0	3627
1999	0.0005659309564233164	4	7068
2000	0.0006079766536964981	5	8224
2001	0.0005761198329252485	4	6943
2002	0.00019175455417066154	1	5215
2003	0.0004167824395665463	3	7198
2004	0	0	6682
2005	0	0	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00035932446999640676	4	11132
2009	0.0003575685339690107	6	16780
2010	0.0003902185223725286	6	15376
2011	0.0004084967320261438	6	14688
2012	0.0006591167835100965	11	16689
2013	0.0005209147262593114	10	19197
