year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0.0006863417982155113	2	2914
1953	0.0006594131223211342	2	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0.0005242463958060288	2	3815
1960	0.0010596026490066225	4	3775
1961	0.0006798096532970768	3	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0009319664492078285	5	5365
1966	0.001088929219600726	6	5510
1967	0.0008868393047179851	5	5638
1968	0.001170177198261451	7	5982
1969	0.0010355540214014498	6	5794
1970	0.0018496721035816377	11	5947
1971	0.0013977635782747603	7	5008
1972	0.0011325028312570782	7	6181
1973	0.0006756756756756757	4	5920
1974	0.002478551000953289	13	5245
1975	0.0014098690835850957	7	4965
1976	0.001167088115152694	6	5141
1977	0.0035191702167067978	19	5399
1978	0.0014469162597214686	8	5529
1979	0.0022731577950369387	12	5279
1980	0.0012915129151291514	7	5420
1981	0.00281478701444924	15	5329
1982	0.0013160368490317729	7	5319
1983	0.004162724692526017	22	5285
1984	0.002253944402704733	12	5324
1985	0.0026246719160104987	15	5715
1986	0.0028924026224450444	15	5186
1987	0.006216858657889925	34	5469
1988	0.005084437988015254	28	5507
1989	0.003312412831241283	19	5736
1990	0.002456140350877193	14	5700
1991	0.0027160074690205397	16	5891
1992	0.0031783205085312814	19	5978
1993	0.004027521396207418	24	5959
1994	0.0044783546193398575	27	6029
1995	0.005447470817120622	35	6425
1996	0.004691993340396549	31	6607
1997	0.004445267642155954	24	5399
1998	0.0024813895781637717	9	3627
1999	0.00311262026032824	22	7068
2000	0.0036478599221789884	30	8224
2001	0.004320898746939364	30	6943
2002	0.003835091083413231	20	5215
2003	0.0016671297582661851	12	7198
2004	0.0013469021251122418	9	6682
2005	0.00275974025974026	17	6160
2006	0.0020172910662824206	7	3470
2007	0.0033349213911386373	7	2099
2008	0.001976284584980237	22	11132
2009	0.0029797377830750892	50	16780
2010	0.0026664932362122787	41	15376
2011	0.0022467320261437907	33	14688
2012	0.0029360656719995206	49	16689
2013	0.0023441162681669013	45	19197
