year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0006594131223211342	2	3033
1954	0.0006140620202640467	2	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.0005209690023443605	2	3839
1958	0.0002674511901577962	1	3739
1959	0.001834862385321101	7	3815
1960	0.0018543046357615894	7	3775
1961	0.0009064128710627691	4	4413
1962	0.0009599232061435085	4	4167
1963	0.00196377918394065	9	4583
1964	0.0008008008008008008	4	4995
1965	0.0007455731593662628	4	5365
1966	0.002177858439201452	12	5510
1967	0.001418942887548776	8	5638
1968	0.0015045135406218655	9	5982
1969	0.0010355540214014498	6	5794
1970	0.0006726080376660501	4	5947
1971	0.0007987220447284345	4	5008
1972	0.0008089305937550558	5	6181
1973	0.0008445945945945946	5	5920
1974	0.001143946615824595	6	5245
1975	0.0014098690835850957	7	4965
1976	0.0009725734292939117	5	5141
1977	0.0007408779403593258	4	5399
1978	0.0009043226623259179	5	5529
1979	0.0007577192650123129	4	5279
1980	0.0007380073800738007	4	5420
1981	0.0013135672734096453	7	5329
1982	0.0009400263207369807	5	5319
1983	0.0011352885525070956	6	5285
1984	0.0011269722013523666	6	5324
1985	0.0013998250218722659	8	5715
1986	0.0011569610489780178	6	5186
1987	0.0007313951362223441	4	5469
1988	0.001452696568004358	8	5507
1989	0.000697350069735007	4	5736
1990	0.0010526315789473684	6	5700
1991	0.0013580037345102699	8	5891
1992	0.00117096018735363	7	5978
1993	0.0008390669575432119	5	5959
1994	0.000829324929507381	5	6029
1995	0.000622568093385214	4	6425
1996	0.0006054184955350386	4	6607
1997	0.0005556584552694943	3	5399
1998	0.0005514199062586159	2	3627
1999	0.0011318619128466328	8	7068
2000	0.0010943579766536965	9	8224
2001	0.00028805991646262423	2	6943
2002	0.0011505273250239693	6	5215
2003	0.0006946373992775772	5	7198
2004	0.000299311583358276	2	6682
2005	0.000487012987012987	3	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0.00008983111749910169	1	11132
2009	0.00017878426698450536	3	16780
2010	0.00045525494276795007	7	15376
2011	0.00013616557734204794	2	14688
2012	0.0004793576607346156	8	16689
2013	0.00036464030838151797	7	19197
