year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0.0005298013245033113	2	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.00034518467380048324	2	5794
1970	0.00033630401883302503	2	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0.0004028197381671702	2	4965
1976	0.000583544057576347	3	5141
1977	0	0	5399
1978	0	0	5529
1979	0.0005682894487592347	3	5279
1980	0	0	5420
1981	0	0	5329
1982	0.0009400263207369807	5	5319
1983	0.0001892147587511826	1	5285
1984	0.0007513148009015778	4	5324
1985	0.0006999125109361329	4	5715
1986	0.0028924026224450444	15	5186
1987	0.003474126897056135	19	5469
1988	0.002905393136008716	16	5507
1989	0.0024407252440725243	14	5736
1990	0.0029824561403508773	17	5700
1991	0.001867255134951621	11	5891
1992	0.0016728002676480427	10	5978
1993	0.002181574089612351	13	5959
1994	0.0023221098026206667	14	6029
1995	0.000933852140077821	6	6425
1996	0.0006054184955350386	4	6607
1997	0.0016669753658084831	9	5399
1998	0.0011028398125172319	4	3627
1999	0.0018392756083757782	13	7068
2000	0.0020671206225680934	17	8224
2001	0.0018723894570070575	13	6943
2002	0.0007670182166826462	4	5215
2003	0.0012503473186996387	9	7198
2004	0.0013469021251122418	9	6682
2005	0.000487012987012987	3	6160
2006	0.0005763688760806917	2	3470
2007	0.0009528346831824678	2	2099
2008	0.0006288178224937119	7	11132
2009	0.00023837902264600716	4	16780
2010	0.0007804370447450572	12	15376
2011	0.0007489106753812636	11	14688
2012	0.00041943795314278864	7	16689
2013	0.0006250976715111736	12	19197
