year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0.0010851871947911015	6	5529
1979	0.0015154385300246258	8	5279
1980	0.0018450184501845018	10	5420
1981	0.0024394820791893415	13	5329
1982	0.0026320736980635457	14	5319
1983	0.001892147587511826	10	5285
1984	0.0011269722013523666	6	5324
1985	0.0017497812773403325	10	5715
1986	0.0015426147319706903	8	5186
1987	0.0005485463521667581	3	5469
1988	0.0005447612130016343	3	5507
1989	0.000697350069735007	4	5736
1990	0	0	5700
1991	0.00016975046681378373	1	5891
1992	0.0010036801605888257	6	5978
1993	0.0005034401745259272	3	5959
1994	0	0	6029
1995	0.0004669260700389105	3	6425
1996	0.0006054184955350386	4	6607
1997	0.0014817558807186516	8	5399
1998	0.0005514199062586159	2	3627
1999	0.0002829654782116582	2	7068
2000	0.00048638132295719845	4	8224
2001	0.001440299582313121	10	6943
2002	0.0009587727708533077	5	5215
2003	0.0015282022784106697	11	7198
2004	0.00074827895839569	5	6682
2005	0.000487012987012987	3	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.0012576356449874237	14	11132
2009	0.0003575685339690107	6	16780
2010	0.0003251821019771072	5	15376
2011	0.0002042483660130719	3	14688
2012	0.0004793576607346156	8	16689
2013	0.0002604573631296557	5	19197
