year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0006006006006006006	3	4995
1965	0	0	5365
1966	0.0003629764065335753	2	5510
1967	0.000709471443774388	4	5638
1968	0	0	5982
1969	0.0006903693476009665	4	5794
1970	0.0020178241129981504	12	5947
1971	0.002595846645367412	13	5008
1972	0.0017796473062611229	11	6181
1973	0.0010135135135135136	6	5920
1974	0.001525262154432793	8	5245
1975	0.0016112789526686808	8	4965
1976	0.0009725734292939117	5	5141
1977	0.002222633821077977	12	5399
1978	0.0016277807921866521	9	5529
1979	0.0011365788975184693	6	5279
1980	0.0016605166051660517	9	5420
1981	0.0015012197410395947	8	5329
1982	0.001504042113179169	8	5319
1983	0.002270577105014191	12	5285
1984	0.0018782870022539444	10	5324
1985	0.002274715660542432	13	5715
1986	0.0021210952564596993	11	5186
1987	0.005485463521667581	30	5469
1988	0.0019974577810059923	11	5507
1989	0.0015690376569037657	9	5736
1990	0.0015789473684210526	9	5700
1991	0.002376506535392972	14	5891
1992	0.002843760455001673	17	5978
1993	0.0033562678301728476	20	5959
1994	0.002487974788522143	15	6029
1995	0.0028015564202334632	18	6425
1996	0.002270319358256395	15	6607
1997	0.002222633821077977	12	5399
1998	0.0022056796250344637	8	3627
1999	0.003254102999434069	23	7068
2000	0.002796692607003891	23	8224
2001	0.0020164194152383695	14	6943
2002	0.002109300095877277	11	5215
2003	0.0018060572381217005	13	7198
2004	0.0016462137084705178	11	6682
2005	0.000974025974025974	6	6160
2006	0.0008645533141210375	3	3470
2007	0.0019056693663649356	4	2099
2008	0.0008084800574919152	9	11132
2009	0.0011918951132300357	20	16780
2010	0.001040582726326743	16	15376
2011	0.0014297385620915032	21	14688
2012	0.0018575109353466356	31	16689
2013	0.000781372089388967	15	19197
